­	­
​	​
‎	‎
!	!
"	"
#	#
##	##
###	###
####	####
#####	#####
#}	#}
%	%
%%	%%
%+	%+
%,	%,
%/	%/
%}}	%}}
&	&
'	'
(	(
)	)
+	+
+%	+%
++	++
+/	+/
+/–	+/–
+/−	+/−
+\	+\
+}	+}
+∞	+∞
,	,
,+	,+
,,	,,
,\	,\
,\,	,\,
,_	,_
,}}	,}}
,∞	,∞
-	-
.	.
/	/
//	//
///	///
/\	/\
/}	/}
<	<
>	>
>>	>>
>>>	>>>
>}	>}
>}}	>}}
?	?
@	@
\	\
\,	\,
\,\	\,\
\\	\\
\\}	\\}
\}	\}
^	^
^+	^+
^\	^\
^}	^}
_	_
_%	_%
__	__
__________	__________
_}	_}
_}}	_}}
`	`
````	````
{	{
}	}
}%	}%
}+	}+
},	},
}/	}/
}/}	}/}
}>	}>
}>}	}>}
}\	}\
}^	}^
}_	}_
}}	}}
}}%	}}%
}}+	}}+
}}+}	}}+}
}}}	}}}
}}}+	}}}+
}}}/	}}}/
}}}>	}}}>
}}}}	}}}}
}}}}}	}}}}}
}}}}}}	}}}}}}
}}}}}}}	}}}}}}}
}}}}}}}}	}}}}}}}}
}}}}}}}}}	}}}}}}}}}
}}}}}}}}}}	}}}}}}}}}}
}}}}}}}}}}}	}}}}}}}}}}}
}}}}}}}}}}}}	}}}}}}}}}}}}
}}}}}}}}}}}}}	}}}}}}}}}}}}}
~	~
~,	~,
~/	~/
~~	~~
~~~~	~~~~
~~~~~	~~~~~
§	§
§§	§§
¨	¨
©	©
¬	¬
®	®
¯	¯
°	°
±	±
´	´
·	·
»	»
×	×
÷	÷
‐	‐
–	–
—	—
——	——
―	―
‘	‘
„	„
†	†
‡	‡
•	•
…	…
……	……
‰	‰
″	″
⁄	⁄
←	←
↑	↑
→	→
↓	↓
↔	↔
↗	↗
⇒	⇒
∀	∀
∅	∅
∆	∆
∇	∇
∈	∈
∑	∑
−	−
∗	∗
∘	∘
∙	∙
√	√
∞	∞
∧	∧
∨	∨
∩	∩
∪	∪
≈	≈
≠	≠
≡	≡
≤	≤
≥	≥
⊂	⊂
⊆	⊆
⊕	⊕
⊥	⊥
⋅	⋅
│	│
■	■
▪	▪
●	●
☎	☎
♀	♀
♂	♂
♠	♠
♣	♣
♥	♥
♦	♦
✉	✉
✍	✍
－	－
¢	¢
$	$
$b	$b
$date	$date
$dx	$dx
$dx,	$dx,
$dx,$dy	$dx,$dy
,$dy	,$dy
$n	$n
$now	$now
$x	$x
$ys	$ys
,$ys}v	,$ys}v
£	£
¥	¥
₤	₤
€	€
01tech	τεχ
¹	¹
½	½
⅓	⅓
¼	¼
1bit	βιτ
1ier	ιέρ
1march	αρχ
1net	νετ
1ra	ρα
1ro	ρω
1ste	στη
1stp	στπ
1then	αθήν
²	²
⅔	⅔
24sata	σάτα
2and	αντ΄
2arcsin	άρσιν
2chan	χάν
2-diabetes	διαβήτης
2eme	έμη
2fm	φμ
2inf	ινφ
2ndmix	ντιξ
2sai	σαι
2sides	ίδες
³	³
¾	¾
3alena	αλένα
3-algebras	άλγεβρας
3arena	ρένα
3canal	χανάλ
3de	δη
3march	αρχ
3mde	μδε
3mile	μίλε
