	
‎	‎
!	!
"	"
#	#
##	##
###	###
####	####
#####	#####
#}	#}
#}}	#}}
%	%
%%	%%
%,	%,
%}}	%}}
&	&
'	'
(	(
)	)
+	+
+%	+%
++	++
+++	+++
+,	+,
+/	+/
+\	+\
+}	+}
+}}}	+}}}
,	,
,,	,,
,\	,\
,\,	,\,
,_	,_
,}}	,}}
-	-
.	.
/	/
/+	/+
//	//
///	///
////	////
/////	/////
//////	//////
///////	///////
////////	////////
/>	/>
/\	/\
/}	/}
/}}}	/}}}
/–	/–
<	<
>	>
>>	>>
>>>	>>>
>}	>}
>}}	>}}
?	?
@	@
\	\
\,	\,
\,\	\,\
\/	\/
\\	\\
\\}	\\}
\_	\_
\}	\}
^	^
^\	^\
^_^	^_^
^}	^}
_	_
_%	_%
__	__
___	___
_}	_}
_}}	_}}
`	`
{	{
}	}
}%	}%
}+	}+
}+}	}+}
},	},
}/	}/
}/}	}/}
}>	}>
}\	}\
}^	}^
}_	}_
}}	}}
}}%	}}%
}}+	}}+
}}+}	}}+}
}}/	}}/
}}}	}}}
}}}+	}}}+
}}}/	}}}/
}}}>	}}}>
}}}}	}}}}
}}}}}	}}}}}
}}}}}}	}}}}}}
}}}}}}}	}}}}}}}
}}}}}}}}	}}}}}}}}
}}}}}}}}}	}}}}}}}}}
}}}}}}}}}}	}}}}}}}}}}
}}}}}}}}}}}	}}}}}}}}}}}
}}}}}}}}}}}}	}}}}}}}}}}}}
}}}}}}}}}}}}}	}}}}}}}}}}}}}
~	~
~/	~/
~~	~~
~~~	~~~
~~~~	~~~~
~~~~~	~~~~~
~~~~~~	~~~~~~
§	§
©	©
¬	¬
®	®
¯	¯
°	°
±	±
¶	¶
·	·
»	»
»»	»»
×	×
÷	÷
،	،
‐	‐
–	–
–}}	–}}
––	––
—	—
—}}	—}}
‘	‘
‚	‚
„	„
†	†
‡	‡
•	•
…	…
……	……
″	″
‹	‹
›	›
←	←
↑	↑
→	→
↓	↓
↔	↔
⇒	⇒
∀	∀
∅	∅
∆	∆
∇	∇
∈	∈
∑	∑
−	−
∗	∗
√	√
∞	∞
∧	∧
∨	∨
∩	∩
∪	∪
≈	≈
≠	≠
≡	≡
≤	≤
≥	≥
⊆	⊆
⊕	⊕
⊥	⊥
│	│
■	■
▪	▪
►	►
◄	◄
○	○
●	●
★	★
☢	☢
☥	☥
☪	☪
☺	☺
☼	☼
♀	♀
♂	♂
♠	♠
♣	♣
♥	♥
♦	♦
⚡	⚡
✉	✉
✓	✓
：	：
¤	¤
¢	¢
/$	/$
~$	~$
$	$
$}}	$}}
$a	$a
$b	$b
$dx,	$dx,
$dx,$dy	$dx,$dy
,$dy	,$dy
$n	$n
$now	$now
$s	$s
$x	$x
$ys	$ys
,$ys}v	,$ys}v
£	£
¥	¥
฿	฿
₩	₩
₪	₪
€	€
₱	₱
01c	‏۰۱
02c	‏۰۲
02e	‏۰۲
03g	‏۰۳
04e	‏۰۴
04z	‏۰۴
06c	‏۰۶
07c	‏۰۷
09c	‏۰۹
09l	‏۰۹
0a0	‏۰۰
0b5	‏۰۵
0c7	‏۰۷
0g7	‏۰۷
1000t	$۱۰۰۰
1000v	$۱۰۰۰
