­	­
​	​
‎	‎
‬	‬
!	!
"	"
#	#
##	##
###	###
#}	#}
%	%
%%	%%
%+	%+
%}}	%}}
%–	%–
&	&
'	'
(	(
)	)
+	+
++	++
+,	+,
+/	+/
+\	+\
,	,
,,	,,
,\	,\
,_	,_
,}}	,}}
-	-
.	.
/	/
//	//
/\	/\
<	<
>	>
>>	>>
?	?
@	@
\	\
\,	\,
\,+\	\,+\
\,\	\,\
\\	\\
\\}	\\}
\^	\^
\_	\_
\}	\}
^	^
^+	^+
^^	^^
^^^	^^^
^}	^}
_	_
_^	_^
__	__
___	___
____	____
_}	_}
_}}	_}}
`	`
{	{
}	}
}%	}%
}+	}+
},	},
}>	}>
}>}	}>}
}\	}\
}^	}^
}}	}}
}}}	}}}
}}}+	}}}+
}}}>	}}}>
}}}}	}}}}
}}}}}	}}}}}
}}}}}}	}}}}}}
}}}}}}}	}}}}}}}
}}}}}}}}	}}}}}}}}
}}}}}}}}}}	}}}}}}}}}}
~	~
~~	~~
~~~~	~~~~
§	§
©	©
°	°
±	±
·	·
»	»
×	×
،	،
–	–
—	—
‘	‘
„	„
†	†
‡	‡
•	•
••	••
•••	•••
…	…
″	″
←	←
→	→
↔	↔
−	−
∞	∞
∨	∨
≈	≈
≠	≠
≤	≤
≥	≥
■	■
▪	▪
◄	◄
●	●
☎	☎
☺	☺
☻	☻
♠	♠
♣	♣
♥	♥
♦	♦
♪	♪
♫	♫
✔	✔
¤	¤
$	$
$dx	$dx
$dx,	$dx,
,$hx	,$hx
$now	$now
£	£
₪	₪
€	€
½	½
⅓	⅓
¼	¼
1march	ארח
1mya	מיא
1net	נְט
1peter	אֶתֶר
1ra	רָ
1ro	רוֹ
1stp	סטף
²	²
2and	אנד
2chan	חאן
2fm	פם
2'nd	ענד
3alena	אלנא
3ality	אִטי
3canal	אנאל
3de	דֶ
3march	ארח
3ms	מס
3net	נְט
3sat	סאת
3tera	טֶרָה
3yr	יר
4chan	חאן
4ever	קֶבֶר
4fm	פם
4knots	כנץ
4march	ארח
4mls	מלס
4ms	מס
4seven	אֶבֶן
4st	סת
4ta	תָ
4vols	ווֹלֶס
5fr	פר
5stars	סטארס
5tar	טאר
5ttt	תתט
5yg	יג
6mdm	מדם
6sup	סוּף
7'den	עֵדֶן
7de	דֶ
7even	אֶבֶן
7lb	לβ
7march	ארח
7or	וֹר
7ven	וֶן
8ary	ארי
8chan	חאן
8march	ארח
8ta	תָ
9atom	יָתוֹם
9front	פרנט
9lb	לβ
9march	ארח
9nine	נִינְג
#a	#a
%a	%a
+a	+a
+a_	+a_
,a	,a
,a_	,a_
/a	/a
/a/	/a/
_a	_a
a	a
a%	a%
a+	a+
a,	a,
a/	a/
a\	a\
a^	a^
a_	a_
á	á
à	à
â	â
å	å
ä	ä
ā	ā
#aa	#aa
aa	aa
#aaa	#aaa
aaa	aaa
#aaaaaa	#aaaaaa
aabel	אָבֶּל
aaby	אבּי
aac	aac
aachayer	אחאיסר
aachen	חֵן
aacr	aacr
%aa%d	%aa%d
aadahl	דאהל
aadavari	אדנאואר
aaddh	אאדה
aadesh	קָדֵשׁ
aadland	אדלנד
aad	אד
aaen	אֵן
