	
​	​
‎	‎
!	!
"	"
#	#
##	##
###	###
#}	#}
%	%
%%	%%
%}}	%}}
%–	%–
&	&
'	'
(	(
)	)
+	+
++	++
+/	+/
+/−	+/−
+\	+\
+}	+}
+}}}	+}}}
+∞	+∞
,	,
,\	,\
,\,	,\,
,_	,_
,}}	,}}
,–	,–
-	-
.	.
/	/
/+	/+
//	//
///	///
////	////
//////	//////
////////	////////
/>	/>
/\	/\
/}	/}
/}}	/}}
/}}}	/}}}
/–	/–
<	<
>	>
>>	>>
>}	>}
>}}	>}}
?	?
@	@
\	\
\,	\,
\,+\	\,+\
\,\	\,\
\/	\/
\\	\\
\\}	\\}
\}	\}
^	^
^+	^+
^\	^\
^}	^}
_	_
_^	_^
___	___
_____	_____
_}}	_}}
`	`
{	{
}	}
}%	}%
}+	}+
}+}	}+}
},	},
}/	}/
}/}	}/}
}>	}>
}\	}\
}^	}^
}}	}}
}}%	}}%
}}+	}}+
}}+}	}}+}
}}}	}}}
}}}#}}	}}}#}}
}}}+	}}}+
}}}/	}}}/
}}}>	}}}>
}}}}	}}}}
}}}}}	}}}}}
}}}}}}	}}}}}}
}}}}}}}	}}}}}}}
}}}}}}}}	}}}}}}}}
}}}}}}}}}	}}}}}}}}}
}}}}}}}}}}	}}}}}}}}}}
}}}}}}}}}}}	}}}}}}}}}}}
}}}}}}}}}}}}	}}}}}}}}}}}}
}}}}}}}}}}}}}	}}}}}}}}}}}}}
~	~
~~	~~
~~~	~~~
~~~~	~~~~
~~~~~	~~~~~
~~~~~~	~~~~~~
§	§
¨	¨
©	©
¬	¬
®	®
°	°
±	±
´	´
·	·
»	»
×	×
÷	÷
˚	˚
،	،
।	।
॥	॥
–	–
—	—
―	―
‘	‘
„	„
†	†
‡	‡
•	•
…	…
‰	‰
″	″
⁄	⁄
←	←
↑	↑
→	→
↓	↓
↔	↔
⇒	⇒
⇔	⇔
∀	∀
∂	∂
∇	∇
∈	∈
∑	∑
−	−
√	√
∞	∞
∧	∧
∨	∨
∩	∩
∪	∪
≈	≈
≠	≠
≡	≡
≤	≤
≥	≥
⊂	⊂
⊕	⊕
██	██
■	■
●	●
★	★
☆	☆
♂/♀	♂/♀
♠	♠
♦	♦
✉	✉
¤	¤
¢	¢
~$	~$
–$	–$
$	$
$b	$b
$n	$n
$now	$now
$us	$us
$x	$x
$ys	$ys
,$ys}v	,$ys}v
£	£
¥	¥
฿	฿
₩	₩
€	€
₹	₹
¹	¹
½	½
⅓	⅓
¼	¼
1net	नेत
1ra	र
1ro	रो
1then	थेन
²	²
⅔	⅔
2arcsin	अर्चिन
2chan	छन
2pac	पच
2sai	सइ
³	³
¾	¾
37photon	फोटोन
3alena	अलेन
3canal	चैनल
3de	दॅ
3dsolve	सोल्वे
3mile	मिले
3net	नेत
3sat	सत
3tera	तेरा
4chan	छन
4got	गोत
4is	इस्
4koma	कॉम्प
4seven	सेवेन
4-ship	शिप
4ta	त
4us	उस
4vols	वॉलेस
5channel	छन्ने
5live	लिव्से
5stars	स्तर
5tar	तर
6bis	बिस
6bone	बोने
6emile	मिले
6lack	लचक
6the	थे
⅞	⅞
7de	दॅ
7even	एवेन
7-like	लिके
