­	­
​	​
‎	‎
‬	‬
!	!
"	"
#	#
%	%
&	&
'	'
(	(
)	)
+	+
,	,
-	-
.	.
/	/
<	<
>	>
?	?
@	@
\	\
^	^
_	_
__	__
___	___
____	____
`	`
{	{
}	}
~	~
¡	¡
¦	¦
§	§
¨	¨
©	©
¬	¬
®	®
°	°
±	±
´	´
¶	¶
·	·
»	»
¿	¿
×	×
÷	÷
،	،
‐	‐
‑	‑
‒	‒
–	–
—	—
―	―
‘	‘
„	„
†	†
‡	‡
•	•
…	…
‧	‧
‰	‰
″	″
‹	‹
›	›
※	※
⁄	⁄
←	←
↑	↑
→	→
↓	↓
↔	↔
↗	↗
⇒	⇒
⇔	⇔
∀	∀
∂	∂
∃	∃
∅	∅
∇	∇
∈	∈
∑	∑
−	−
∗	∗
∘	∘
√	√
∞	∞
∧	∧
∨	∨
∩	∩
∪	∪
∫	∫
∴	∴
∼	∼
≈	≈
≠	≠
≡	≡
≤	≤
≥	≥
⊂	⊂
⊆	⊆
⊕	⊕
⊗	⊗
⊥	⊥
⋅	⋅
│	│
┐	┐
└	└
█	█
■	■
▪	▪
△	△
►	►
▼	▼
◄	◄
○	○
●	●
★	★
☆	☆
♀	♀
♂	♂
♠	♠
♣	♣
♥	♥
♦	♦
♪	♪
♯	♯
❤	❤
➔	➔
。	。
》	》
・	・
（	（
）	）
，	，
－	－
：	：
｜	｜
～	～
･	･
¢	¢
$	$
£	£
¥	¥
€	€
¹	¹
½	½
⅓	⅓
¼	¼
1mya	ミャ
1ra	ラ
1ro	ロ
²	²
24sata	サタ
2chan	チャン
2dope	ドッペ
2eme	エメ
2sai	サイ
³	³
¾	¾
3arena	れな
3-chome	チョメ
3de	で
3rei	れい
3tera	テラ
4chan	チャン
4eme	エメ
4ever	エヴェレ
4-koma	こま
4koma	こま
4mations	マティソン
4radio	アディオ
4seven	エヴェン
4ta	た
4teen	テーン
5eme	エメ
5spike	ピケ
6bone	ボネ
6teen	テーン
7de	で
7even	エヴェン
7radio	アディオ
7ven	ヴェン
86open	お盆
8chan	チャン
8ta	た
9atom	アトム
9continent	オンティニエンテ
9five	フィアヴェ
9nine	ニネ
9we	ヱ
a9home	ホメ
_a	_a
a	a
a_	a_
ª	ª
á	á
à	à
â	â
å	å
ä	ä
ã	ã
ą	ą
ā	ā
aa	aa
aaa	aaa
aaaa	aaaa
aaaaaa	aaaaaa
aaai	aaai
aaas	aaas
aab	aab
aabach	アバチャ
aabar	アバロ
aabb	aabb
aabenraa	ラベラー
aabheri	アヘリ
aabi	あび
aabo	アボ
aabpara	アバラ
aac	aac
aacc	aacc
aacharya	チャリャ
aachen	aachen
aachen	アチェン
aacs	aacs
aacsb	aacsb
aad	aad
aadab	アダブ
aadeetta	アデッタ
aaditta	ディッタ
aadrian	アディアン
aae	aae
aaen	アエン
aaf	aaf
aafc	aafc
aafia	アフィア
aag	aag
aagesen	ラウゲセン
aage	アゲ
aagot	アゴタ
aagre	アグレ
aagu	アグ
aag	アーゴ
aahe	アヘ
aai	aai
aaicha	バイチャ
aainae	アイナメ
aaisha	アイシャ
aaiun	アイウン
aaja	アジャ
aaji	あじ
aakaam	アカー
aakaser	あかせ
