	
​	​
‎	‎
!	!
"	"
#	#
##	##
###	###
####	####
#####	#####
#}	#}
%	%
%%	%%
%+	%+
%}}	%}}
%–	%–
&	&
'	'
(	(
)	)
+	+
+%	+%
++	++
+/	+/
+/−	+/−
+}	+}
+}}}	+}}}
+}}}}	+}}}}
,	,
,,	,,
,}}	,}}
-	-
.	.
/	/
/+	/+
//	//
/\	/\
/}	/}
/}}}	/}}}
/–	/–
<	<
>	>
>>	>>
>}	>}
>}}	>}}
?	?
@	@
@@	@@
\	\
\,	\,
\,\	\,\
\\	\\
^	^
^}	^}
_	_
__	__
_}}	_}}
`	`
{	{
}	}
}%	}%
}+	}+
}+}	}+}
},	},
}/	}/
}/}	}/}
}>	}>
}>}	}>}
}}	}}
}}%	}}%
}}+	}}+
}}+}	}}+}
}},	}},
}}/	}}/
}}}	}}}
}}}+	}}}+
}}}/	}}}/
}}}>	}}}>
}}}}	}}}}
}}}}}	}}}}}
}}}}}}	}}}}}}
}}}}}}}	}}}}}}}
}}}}}}}}	}}}}}}}}
}}}}}}}}}	}}}}}}}}}
}}}}}}}}}}	}}}}}}}}}}
}}}}}}}}}}}	}}}}}}}}}}}
}}}}}}}}}}}}	}}}}}}}}}}}}
}}}}}}}}}}}}}	}}}}}}}}}}}}}
~	~
~/	~/
~~~~	~~~~
~~~~~	~~~~~
§	§
©	©
¬	¬
°	°
°}}	°}}
±	±
´	´
·	·
»	»
×	×
÷	÷
।	।
॥	॥
‑	‑
–	–
—	—
—}}	—}}
——	——
‘	‘
†	†
‡	‡
•	•
…	…
‰	‰
″	″
›	›
←	←
↑	↑
→	→
↓	↓
−	−
∙	∙
√	√
∞	∞
≈	≈
≠	≠
≤	≤
≥	≥
⊕	⊕
⊗	⊗
♂/♀	♂/♀
♠	♠
♦	♦
♪	♪
¢	¢
~$	~$
$	$
$}}	$}}
$b	$b
$dx,$dy	$dx,$dy
,$dy	,$dy
$n	$n
$now	$now
$x	$x
£	£
¥	¥
€	€
₹	₹
½	½
⅓	⅓
¼	¼
1april	ಪ್ರಿಲ್
1ra	ರ
1ro	ರೊ
1then	ಥೆನ್
²	²
⅔	⅔
2april	ಪ್ರಿಲ್
2eme	ಎಂಎ
2james	ಅಮೆಸ್
2-reel	ರೇಲ್
2sai	ಸೈ
³	³
¾	¾
37photon	ಫೊಟೊನ್
3alena	ಅಲೆನ್
3april	ಪ್ರಿಲ್
3canal	ಚಾನಲ್
3de	ದೆ
3mile	ಮಿಲೆ
3sat	ಸತ್
3tera	ತೆರ
4april	ಪ್ರಿಲ್
4eme	ಎಂಎ
4ever	ನೆವೆರ್
4is	ಇಸ್
4koma	ಕೊಂದ
4seven	ಸೆವೆನ್
4-ship	ಶಿಪ್
4ta	ತ
4teen	ತೇನ್
4us	ಉಸ್
5april	ಪ್ರಿಲ್
5eme	ಎಂಎ
5spike	ಪಿಕೆ
6april	ಪ್ರಿಲ್
6bis	ಬಿಸ್
6bone	ಬೋನೆ
6emile	ಮಿಲೆ
6sup	ಸುಪ್
6teen	ತೇನ್
6the	ಥೆ
7de	ದೆ
7even	ಹೆವೆನ್
7or	ಒರ್
7ven	ವೆನ್
