zya	زيا
zawj	زَوْجٍ
zam	زام
yhl	يحل
yal	يال
wjf	وجف
wawn	وأون
wathar	وأثار
waltl	والتل
tyran	طـيـران
tshak	تشاك
tqm	تقم
tqdm	تقدم‏
tml	طمل
tbd	تبد
tanz	تانز
sng	سنگ
sharan	شاران
sanz	سانز
ral	رال
rajasthan	راجاسثان
rabuka	رَبُّكَ
qahr	قاهر
qaa	قاى
nyy	نيي
nyn	نين
ntr	نتر
ntf	نتف
nasha	ناصحا
narayan	نارايان
naara	نَارًا
mraz	مراز
mlm	ملم
matka	ماتكا
mataram	ماتارام
maham	مَهام
lya	ليـا
lsh	لش
lhsa	لحصة
laj	لاج
lahm	لاهم
kubra	كُبرى
kran	كران
kharan	خاران
khalsa	خالصة
kazak	كازاك
kamrat	كامرات
kald	كالد
jwa	جوة
jnr	جنر
jarh	جاره
iyyeh	إيئه
iyak	إيّاك
iyah	إياه
itn	إتن
islami	إسلامی
ishraq	إشراق
iran	إران
iba	إبا
ibad	إباض
hra	حرى
haq	حاق
hamn	هامن
ghy	غي
fmr	فمر
fka	فكة
fia	فِى
faris	فارِس
faran	فأراً
dyda	ديدى
drak	دراك
dhn	دهن
bytu	بيتُ
brata	براتا
blan	بلان
blant	بلانت
bika	بِكَ
bhashya	بحاشية
bayn	بَيْن
bart	بارت
banj	بانج
bakra	باكرة
bafla	بافلى
badshah	بادشاه
ayet	ائت
ayd	أيدٍ
ayad	آياد
auss	أُسس
auma	أُمَّ
asyr	اسير
askar	اسكار
aryabhata	أريابهاتا
arda	ارضة
araz	أراز
aqsa	أقصى
anza	أنزا
anyana	أنيانا
antan	انتان
anan	أناً
amrah	أمرأه
amlak	املاك
amhara	أمهارة
a'l	أعل
allahi	اللَّـهِ
alin	ألِن
albina	البِنى
alaskana	الأسكانى
ajlu	أجلُّ
ahwash	احواش
ahla	احلا
ahlam	احلام
ahkam	احكام
afran	افران
adan	آدان
abda	ابدا
aayaa	آَيَةٍ
aard	أَرض
mahabharatam	ماهابهاراتا
wladyslaw	لاديسلاو
nantharat	انذارات
nakayamai	ناكاياما
jalandhar	الاندحار
australia	أسترالیا
al-sughra	الصُغرى
al-ikhwan	الإخوان
al-buldan	البُلدان
al-akhbar	الاخبار
wrangham	رانغام
whartman	هارتمان
wathakan	اذاكان
valsalya	السالية
valdymas	الديماس
valdamar	الدَّمار
valamara	الأمارة
vadartha	ادارتها
tashanta	أشانتى
talawana	الاوانى
swanhart	وانهارت
sharland	هارلاند
sasakawa	أساكاوا
sasahara	أساهارا
sarakawa	اراكاوا
santhara	انتحارًا
