zoa	ζωα
zita	ζίτα
zam	ζαμ
zaman	ζαμάν
zach	ζαχ
yng	υγκ
tze	τζε
tripoli	τριπολί
trigona	τρίγωνα
torres	τόρρες
toron	τορόν
timion	τιμίων
tianzi	τιανζί
thoas	θόας
thisbe	θίσβη
thetis	θέτις
thamnos	θάμνος
terpsichore	τερψιχόρη
teleferik	τελεφερίκ
stou	στου
sota	σότα
simoni	σιμόνι
simonis	σιμωνίς
seele	σέελε
sarl	σάρλ
sanz	σανζ
sagrada	σαγράδα
rozen	ρόζεν
rou	ροΰ
rossi	ρόσσι
rollo	ρόλλο
rogo	ρογό
renge	ρέγγε
reiner	ρέινερ
regilla	ρήγιλλα
raoul	ράουλ
ramona	ραμόνα
ral	ραλ
raig	ράιγ
proion	προιόν
presbyterio	πρεσβυτέριο
porthos	πόρθος
poda	πόδα
pleonasmos	πλεονασμός
platano	πλάτανο
piperi	πιπέρι
pilar	πιλάρ
peparethos	πεπάρηθος
pelagios	πελάγιος
patil	πατίλ
paspali	πάσπαλι
paschei	πάσχει
ozero	οζέρο
ouni	ούνι
otok	ότοκ
otis	ότις
orman	ορμάν
organista	οργανίστα
oraria	ωράρια
olas	όλας
oinopion	οινοπίων
nyn	νυν
notios	νοτίως
nonna	νόννα
neil	νέιλ
nea	νεά
naso	νάσο
naser	νασήρ
mraz	μραζ
mozo	μόζο
moun	μουν
morrison	μόρρισον
mornar	μόρναρ
mondini	μοντίνι
monacha	μοναχά
moloch	μολώχ
milan	μίλαν
merione	μηριόνη
mendosa	μεντόσα
memnon	μέμνων
melpomene	μελπομένη
maura	μαύρα
mataram	ματαράμ
martyras	μάρτυρας
martu	μαρτύ
marne	μάρνη
marios	μαριοσ
mariana	μαριάνα
maou	μάου
mamme	μαμμή
malloi	μαλλοί
mallei	μάλλεϊ
malei	μάλεϊ
maite	μάιτε
maio	μάϊο
magika	μαγικά
loula	λούλα
louk	λουκ
lorraine	λωρραίνη
loria	λόρια
lithon	λίθων
lippa	λίππα
lexikon	λεξικόν
leto	λέτο
lestes	ληστής
lenny	λέννυ
leei	λέει
larry	λάρρυ
laith	λαΐθ
kran	κραν
kotar	κόταρ
korp	κορπ
korona	κορόνα
korea	κορεα
konni	κόννι
komando	κομάντο
kolkata	κολκάτα
kleisma	κλείσμα
kleines	κλεινές
kerberos	κέρβερος
kater	κάτερ
karzai	καρζάι
kartano	καρτάνο
karim	καρίμ
kaplan	καπλάν
kanones	κανονες
kalai	καλάι
kag	καγ
izi	ίζι
itr	ιτρ
islami	ισλαμί
iran	ιραν
ign	ιγν
iba	ιβα
gymnastikos	γυμναστικος
grammatika	γραμματικά
gerra	γκέρρα
georgiana	γεωργιανά
gange	γάγγη
galazio	γαλάζιο
frou	φρου
faris	φάρις
faran	φαράν
eya	έυα
ethe	ήθη
etap	ετάπ
estre	εστρέ
estin	έστιν
esfinge	έσφιγγε
eser	έσερ
ermin	ερμίν
erle	έρλε
erin	έριν
erba	έρμπα
eran	ήραν
epistolas	επιστολάς
eno	ηνο
enn	ενν
enlil	ενλίλ
emiliano	εμιλιάνο
elio	ήλιο
elif	ελίφ
donos	δόνος
dogmatikous	δογματικούς
diamandi	διαμάντι
deng	δεγγ
demeusei	δημεύσει
dekaefta	δεκαεφτά
danos	δανός
damon	δάμων
dallas	δάλλας
dake	δάκη
chori	χόρι
chloris	χλωρίς
chama	χάμα
chaba	χαβά
brian	μπριάν
brett	μπρεττ
brennan	μπρένναν
brandon	μπράντον
boze	μποζέ
borei	μπορεί
bonga	μπόγκα
blan	μπλαν
bimba	μπίμπα
bika	βίκα
bienne	βιέννη
bienes	βιένης
belina	βελίνα
bassani	μπασσάνι
bart	μπαρτ
bardes	βαρδής
barbaro	μπάρμπαρο
barbare	βάρβαρη
balsamo	βάλσαμο
bafla	βάφλα
azor	αζώρ
australia	αυστραλία
auma	αϋμα
atthis	ατθίς
atomistes	ατομιστής
athalia	αθαλία
astyanax	αστυάναξ
astronomike	αστρονομική
askar	ασκάρ
armin	άρμιν
arif	αρίφ
ariel	άριελ
ariano	αριανό
arda	άρδα
archangelo	αρχάγγελο
arado	άραδο
apto	απ΄το
apollo	απολλώ
apen	απεν
apama	απάμα
anisa	άνισα
angri	αγκρί
andrei	αντρέι
anan	ανάν
anania	ανανία
analoga	ανάλογά
ammon	αμμών
amman	αμμάν
ambis	αμπίς
alussa	αλύσσα
alme	άλμη
alin	αλίν
alik	αλίκ
alexis	αλέξις
alexandri	αλεξαντρί
alemania	αλεμάνια
albina	αλμπίνα
albert	άλμπερτ
albertino	αλμπερτίνο
albano	αλμπάνο
adan	αδάν
acha	αχά
abiba	αβίβα
paralipomena	παραλειπόμενα
metropolitani	μετροπόλιταν
kinematograf	κινηματογράφο
hyperaspistes	υπερασπιστής
herakleopolis	ηρακλεόπολις
harmenopoulos	αρμενόπουλος
halikarnassos	αλικαρνασσός
xanthopoulos	ανθόπουλος
metropoliten	μητροπολίτη
mesopotamica	μεσοποταμία
hypermnestra	υπερμνήστρα
hippostratos	ιππόστρατος
herakleidios	ηρακλείδιος
harpokration	αρποκρατίων
garibaldino	γαριβαλδινών
demokratiske	δημοκρατικη
atherinoides	αθερινίδες
alexandrini	αλεξανδρινοί
stauropolis	ταυρόπολις
rhodochrous	ροδόχρους
parallelis	παραλληλίας
mauritanus	μαυριτανούς
