zita	زیتا
zawj	زَوْجٍ
zam	زام
zaman	زامان
zakani	زاکانی
yal	يال
wirt	ویرت
wilkins	ویلکینس
wika	ویکا
wawn	واون
wathar	وآثار
wani	وانی
tqdm	تقدم
tml	تمل
tiriti	تِ‌رِتِ
tcha	چا
tanz	تانز
tampa	تامپا
tamir	تامیر
tamin	تاٌمین
taisha	تایشا
srl	سرل
sng	سنگ‌
smrti	سمرتی
shiran	شیران
shimai	شِمای
sharan	شاران
sarl	سارل
sanz	سانز
sanji	سانجی
sagrada	ساگرادا
ral	رال
rabuka	رَبُّكَ
qahr	قاهر
prawda	پراودا
pisi	پیسی
pilar	پیلار
patil	پاتیل
papir	پاپیر
pamiri	پامیری
nwi	نوی
ntr	نطر
ngin	نگین
ngam	نگام
naara	نَارًا
myg	ميگ
mrbi	مربی
mraz	مراز
mkl	مکل
milan	میـلان
mataram	ماتارام
marshi	مارشی
mariana	ماریانا
malit	مالیّت
madri	مادری
lsh	لش
limi	لیمی
lii	لِی
lhsa	لحسا
laj	لاج
lahm	لاهم
krwi	کروی
kran	کران
kharan	خاران
khalsa	خالسا
kgl	کگل
kazak	کازاک
karim	کاریم
kaplan	کاپلان
kapina	کاپینا
kamp	کامپ
kalpana	کالپانا
kalla	کاللا
kalawan	کالاوان
kalai	کالای
kair	کایر
kahani	کاهانی
jwa	ژوا
jungi	جُنگی
jnr	جنر
jip	جیپ
jim	جیم
jarh	جاره
jakt	جاکت
izi	ایزی
itr	ایتر
itn	ایتن
islami	إسلامی
irath	یرآذ
iraq	یراق
iran	ایران‏
inwi	اینوی
ijaz	ایجاز
ihi	یحی
ign	ایگن
idk	یدک
idah	ایضاح
hra	حرا
himn	هیمن
hatak	هاتاک
haq	حَقٌّ
hamasaki	هاماساکی
gwang	گوآنگ
gjin	گجین
girn	گیرن
gann	گانن
filz	فیلز
fii	فِی
fia	فیا
faris	فاریس
faran	فاران
duhl	دُهل
drak	دراک
dinh	دینه
digri	دیگری
dhn	دهن
dani	دانی
damin	دامین
dalasi	دالاسی
dagana	داگانا
brian	بریان
bnai	بنای
blith	بلیث
blan	بلان
blant	بلانت
bilig	بیلیگ
bika	بی‌کا
biang	بیانگ
bgn	بگن
bart	بارت
bardhi	باردهی
banj	بانج
azt	ازت
ayd	آيد
austan	اُستان
auma	اُما
asyr	اسير
askar	اسکار
ashti	اشتی
armin	آرمین
arif	اریف
aridh	آریده
ardis	اردیس
arda	ارضا
araz	اراز
aramis	ارامیس
aqsa	اقصا
apama	آپاما
anza	انزا
anisa	انیسا
angri	انگری
anan	ان‌ان
