zya	זיא
zam	זאם
zach	זאח
yvy	יוי
ytv	יטב
yng	ינג
yhl	יהל
yal	יאל
varv	בארב
valg	באלג
uven	וּבֵין
umah	וּמָה
tyran	טיראן
tqm	תקמ
tqdm	תקדם
srl	סרל
sng	סנג
slp	סלף
sanz	סאנז
sagt	סאגט
saad	סאאד
reshet	רֶשֶׁת
ral	ראל
rald	ראלד
rabot	רַבּוֹת
qahr	קאהר
qaa	קאא
nyy	ניי
nyn	נין
nvy	נוי
ntr	נטר
neharot	נְהָרוֹת
narayan	נאראיאן
myg	מיג
mtp	מטף
mraz	מראז
mlm	מלם
mkl	מכל
mataram	מאטאראם
lya	ליא
luq	לוּק
lsh	לש
levav	לֵבָב
leshon	לְשׁוֹן
kgl	כגל
kag	כאג
hra	הרא
haq	האק
hamn	האמן
halev	הַלֵּב
granth	גראנטה
ghy	גהי
faran	פאראן
faar	פאאר
emeh	אֶמֶה
dvn	דון
dodi	דוֹדִי
dhn	דהן
davar	דָבָר
cheh	חֶה
chalav	חָלָב
batey	בָּתֵּי
azz	אזז
ayd	איד
ayad	איאד
avot	אָבוֹת
aven	אָוֶן
auri	אוּרִי
asyr	אסיר
aqsa	אקסא
aori	אוֹרִי
anza	אנזא
andd	אנדד
anan	אנאן
anad	אנאד
agan	אגאן
adan	אדאן
acha	אחא
achav	אחאב
jayavarman	איאוָ‏רמאן
yitschaq	יִצְחָק
yavarman	איאוָ‏רמאן
tsangyang	סאנגיאנג
jargalant	ארגאלאנט
estandart	סטאנדארט
dartanyan	ארטאניאן
thereman	הֶרְמַן
medinata	מְדִינַת
itanagar	תאנאגאר
eloheinu	אֱלֹהֵינוּ
avangard	ואנגארד
zaslany	אסלאני
yanshan	אנשאן
yanfang	אנפאנג
xanalys	אנאליס
whatman	האטמאן
waynman	אינמאן
wanshan	אנשאן
walsham	אלשאם
vasanth	אסאנטה
varnals	ארנאלס
vardhan	ארדהאן
vachika	אָחִיךָ
tharkay	הארכאי
thagard	האגארד
tarandi	טאראנד
tanyang	אניאנג
tangara	טאנארא
sumatar	וּמָטָר
sperato	פְּרָטוֹ
shvarts	הוארטס
shastry	האסטרי
sharan	שאפראן
schomer	חֹמֶר
schayot	חַיּוֹת
sarmany	ארמאני
sanyang	אניאנג
sanshan	אנשאן
sanfang	אנפאנג
sandras	אנדראס
salzman	אלזמאן
salvany	אלבאני
saladyn	אלאדין
rangeli	רַגְלִי
prashad	ראשאד
partsch	ארצח
paravan	אראבאן
östrand	סטראנד
ostrand	סטראנד
naotake	אוֹתָךְ
nanyang	אניאנג
nanshan	אנשאן
nanfang	אנפאנג
nandhan	אנדהאן
mharlyn	הארלין
maslany	אסלאני
martsch	ארצח
marshad	ארשאד
mandras	אנדראס
mandrah	אנדראה
malsham	אלשאם
machray	אחראי
lantsch	אנצח
lanshan	אנשאן
lanfang	אנפאנג
landrys	אנדריס
kneeman	נֶאֱמָן
khansar	האנסאר
khandan	האנדאן
khalvat	האלואט
khalake	הָלַךְ
karmany	ארמאני
kargaly	ארגאלי
karavan	אראבאן
kalmand	אלמאנד
jantsch	אנצח
ivyland	וילאנד
ivanych	ואניח
