zumi	ずみ
zukushi	づくし
zoa	ゾア
zhengi	争い
zeru	ゼル
zenzai	ぜんざい
zazu	ザズ
zanmai	ざんまい
zaman	ザマン
zaji	ザジ
yusa	ユサ
yugo	ユゴ
yoto	ヨト
yoka	ヨカ
yingi	硬い
yawaragi	やわらぎ
yanza	ヤンザ
yanu	言う
yaburu	やぶる
wika	ウィカ
weii	偉い
wani	丸い
vivi	ヴィヴィ
viera	ヴィエラ
verra	ヴェッラ
vede	ヴェデ
uun	ウーン
upu	ウプ
uho	ウホ
uei	ウエィ
tsutsugamushi	ツツガムシ
torosa	トロサ
tonsa	トンサ
toho	とほ
toan	トァン
tcha	っちゃ
taisha	タイシャ
sota	ソタ
soberano	ソベラノ
shufu	しゅふ
shose	ショセ
shiran	シラン
shibai	シバイ
senpu	せんぷ
savini	サヴィニ
sanji	サンジ
sakei	サケイ
rufipogon	ルフィポゴン
rou	ろう
rogo	ロゴ
reve	レヴェ
retchi	レッチ
resa	レサ
renge	れんげ
rajio	ラジオ
raio	ライオ
rabuka	ラブカ
pozo	ポゾ
patientia	パティエンティア
ouni	オウニ
otaman	オタマン
orizaba	オリザバ
oraria	オラリア
okun	オクン
ogong	お供
nuwara	ヌワラ
nosuke	ノスケ
norra	ノッラ
noka	ノカ
nerii	ネリイ
nennen	ねんねん
nea	ネァ
nasuta	ナスタ
nasha	ナシャ
nairobi	ナイロビ
nadeshiko	なでしこ
naara	ナーラ
musei	むせい
mume	むめ
mozo	モゾ
mohan	モハン
miyako	ミヤコ
minori	みのり
minimo	ミニモ
mikazuki	ミカヅキ
mendosa	メンドサ
meiyo	メイヨ
meiden	メイデン
maura	マウラ
marittima	マリッティマ
mariana	マリアナ
maou	マオウ
maite	マイテ
maio	マイオ
magika	マギカ
limi	励み
kuun	クゥン
kuruu	クルー
kurra	クッラ
kurosuke	クロスケ
korona	コロナ
korea	コレア
konni	コンニ
komuuni	コムーニ
komedia	コメディア
komando	コマンド
kida	キダ
kichi	きち
kenu	ケヌ
kenpon	けんぽん
kenchi	けんち
keizai	ケイザイ
kaui	カウイ
kashu	カシュ
kahani	カハニ
jungi	ジュンギ
jon	ヂョン
jisho	じしょ
jeun	ジェウン
itadori	イタドリ
isshu	イッシュ
iran	イラン
iraku	イラク
ihi	イヒ
ihan	イハン
igara	イガラ
ifua	イファ
ieri	イエリ
ieie	イエイエ
idee	イデー
iba	イバ
hyakkin	ヒャッキン
hiita	ヒータ
herikutsu	ヘリクツ
heike	ヘイケ
hayabusa	ハヤブサ
hatta	ハッタ
hattai	はったい
hasami	ハサミ
hanoi	ハノイ
gyu	ぎゅ
gusu	グス
gusa	グサ
gude	グデ
guba	グバ
goodii	ゴーディー
godina	ゴディナ
gerra	ゲッラ
gedon	ゲドン
gatto	ガット
ganshi	干し
ganmodoki	ガンモドキ
ganji	感じ
gangaa	ガンガー
gakkou	ガッコウ
fii	フィー
fiera	フィエラ
fia	フィア
erejii	エレジイ
eona	エオナ
eno	エノ
enima	エニマ
eeren	エーレン
eepe	エーペ
dodi	ドディ
diamandi	ディアマンディ
devin	デヴィン
dera	デラ
dazu	ダズ
dayo	ダヨ
danke	ダンケ
dani	淡い
damon	ダモン
dake	だけ
