zumi	ずみ
zita	自他
zhixian	職銜
zhiguan	直觀
zaji	雜技
yuseol	유설
yusa	유사
yundong	运动
yugo	유고
yuebao	月報
yoto	요토
yoka	요카
yizong	義宗
yishu	藝術
yinyu	隱語
yinyuan	音源
yingling	英靈
yiji	以及
yanu	言う
yange	양에
xuanyi	宣義
xuanshu	選書
xinzheng	信正
xiaozhuan	小篆
wujiao	無敎
wimani	위만이
wilson	윌손
wika	위카
wenti	問題
weii	違い
waren	와렌
wani	완이
uun	우운
urim	우림
umo	우모
ulja	울자
ujin	우진
uiri	우이리
uho	우호
uei	ウェイ
ubong	우봉
toron	토론
tongjian	統監
toho	토호
tohoku	토호쿠
toan	토안
tianzi	天子
tansinil	탄신일
tampa	탐파
tamin	탐인
taiheo	타이허
suoyin	索引
suja	수자
suanshu	算術
ssen	쎈
sota	소타
sopan	소판
songshan	嵩山
soberano	소베라노
simonyi	시몬의
simoni	심온이
sikong	司空
sidae	시대
shufu	叔父
shouyi	受益
shilu	実録
shibai	失敗
shezheng	摂政
sheshou	射手
shenshan	神山
sheji	設計
seikei	세이케이
sebi	세비
sapori	사포리
sanji	산지
saeng	생
saad	ຊາດ
rou	ろう
rossi	롯시
rosae	로사에
rogo	로고
riri	리리
rico	리초
ribao	日报
resa	레사
renge	人格
rayo	라요
ramona	라모나
ral	랄
rakuyo	라쿠요
rajio	ラジオ
raio	라이오
pisi	피시
pisano	피사노
pinglun	評論
patil	파틸
palara	팔아라
ogong	오공
ogan	오간
nwi	뉘
nuwara	누와라
noka	노카
neung	능
neil	네일
neibu	內部
neben	네벤
nea	네아
natuna	나투나
naso	나소
narayan	나라얀
nanum	나눔
nampa	남파
nammi	남미
nairobi	나이로비
nadeshiko	なでしこ
mugo	무고
moun	모운
monggol	몽골
mohan	모한
miyako	미야코
minori	みのり
mihata	미하타
metali	메탈이
menten	멘텐
mendosa	멘도사
memnon	멤논
melpomene	멜포메네
meiyo	메이요
meisan	메이산
meiden	메이덴
maura	마우라
mataram	마타람
mariana	마리아나
maou	마오우
malyi	말의
malre	말레
maite	마이테
maio	마이오
magika	마기카
lunji	論集
longhu	龍虎
limi	李密
leju	樂句
kosi	코시
korona	코로나
korea	코레아
komedia	코메디아
komando	코만도
komal	코말
kolkata	콜카타
kida	키다
kichi	きち
keizai	けいざい
karim	카림
karakum	카라쿰
kalpana	칼파나
kag	칵
kadija	카디자
jwa	좌
juntoku	준토쿠
jungi	준기
joye	조예
jouyi	조우의
jon	존
joj	좆
jip	짚
jinggang	静岡
jim	짐
jijie	季節
jiayi	嘉義
jiaozhu	脚註
jianwen	見聞
jiangjun	将軍
jeun	즌
jeta	제타
jeong	정
jeka	제카
itadori	이타도리
iran	이란
iono	이오노
inwi	인위
inni	인니
innan	인난
inhae	인해
ingan	인간
ilseung	일승
ihi	이히
ihan	이한
ibun	이분
iba	이바
huida	回答
hubo	후보
huashu	花束
huali	華麗
hongkong	홍콩
homi	호미
hoesang	회상
hoang	호앙
helgi	헬기
helga	헬가
heike	헤이케
hayabusa	하야부사
hasami	하사미
hanoi	하노이
hamasaki	하마사키
gyu	규
gwang	광
gusu	구수
gusa	구사
gusaeng	구생
gude	故地
guden	구덴
guba	구바
goong	고옹
gauri	가우리
ganshi	乾式
