yng	ய்ங்
yal	யல்
vivi	விவி
vinul	வினுள்
verra	வெற்ற
valli	வள்ளி
uun	ஊன்
urk	உர்க்
untuk	உந்துக்
unnat	உன்னத்
tohoku	தொஹொகு
tampa	தம்ப
tamir	தமிர்
tamin	தமின்
ssen	ஷென்
sahasranaama	ஸஹஸ்ரநாம
saal	ஸால்
saad	ஸாட்
russ	ருஷ்
ruddi	ருட்டி
riva	ரிவ
ritam	ரிதம்
riri	ரிரி
ricini	ரிசினி
rayad	ரயட்
raud	ரௌட்
rajani	ரஜனி
putih	புதிஹ்
puraanam	புராணம்
pohli	பொஹ்லி
pisi	பிஸி
piriyai	பிரியை
patil	பதில்
passee	பஸ்ஸே
partu	பர்து
paramar	பரமர்
panal	பணல்
pamiri	பமிரி
paluu	பழூ
palara	பலர
pakla	பக்ல
paattu	பாத்து
nuur	நூற்
nivea	நிவெஅ
nitu	நிது
nirvaan	நிர்வான்
nevilli	நெவில்லி
napu	நபு
nampa	நம்ப
naara	நார
naadu	நாடு
muur	மூர்
mukut	முகுத்
mpu	ம்பு
mohan	மொஹன்
milii	மிலீ
milan	மிலன்
meeki	மேகி
medre	மெட்ரெ
maut	மௌத்
malit	மலித்
maham	மஹம்
livs	லிவ்ஸ்
limi	லிமி
lii	ழீ
levu	லெவு
lau	ழௌ
laans	லான்ஸ்
kuus	கூஸ்
kuun	கூண்
kuuk	கூக்
kuruu	குரூ
kurra	குற்ற
kunrattu	குன்றத்து
kran	க்ரந்
konni	கொன்னி
kinnara	கிண்ணர
kiddi	கிட்டி
kaui	கௌஇ
karim	கரிம்
karakum	கரகும்
kaplan	கப்லன்
kanva	கன்வ
kandleri	கண்ட்லெரி
kamp	கம்ப்
kalpana	கல்பன
kalla	கல்ல
kald	கல்ட்
kalai	கலை
kakala	ககல
kair	கைர்
kaikan	கைகன்
kaarti	கார்தி
jon	ஜொன்
jip	ஜிப்
jim	ஜிம்
jeef	ஜேஃப்
jamali	ஜமலி
jamaat	ஜமாத்
itn	இத்ன்
isad	இஸட்
iran	இரன்
iraku	இரகு
inni	இன்னி
innan	இன்னன்
ilaaha	இலாஹ
idri	இடறி
idk	இடக்
idc	இடச்
hongkong	ஹொங்கொங்
hi5	ஹி5
hapla	ஹப்ள
hamid	ஹமிட்
fii	ஃபீ
faar	ஃபார்
faal	Φஆல்
evvel	எவ்வெல்
erin	எரின்
enn	என்ன்
enlil	என்லில்
ellin	எல்லின்
ellan	எல்லன்
ellai	எல்லை
eliya	எளிய
elici	எலிசி
eert	ஏர்த்
dvn	டவ்ன்
duvar	டுவர்
dron	டரொன்
drak	ட்ரக்
devin	டெவின்
dera	டெர
deng	டெங்
delas	டெலஸ்
daaraan	டாரான்
cooki	சோகி
cih	சிஹ்
ceneri	செனெரி
cantik	சந்திக்
cantati	சந்ததி
campa	சம்ப
caiva	சைவ
ayd	அய்ட்
aven	அவென்
auri	ஔரி
atul	அதுல்
askar	அஸ்கர்
ashat	அஸ்ஹத்
armin	அர்மின்
arjuna	அர்ஜுன
arif	அரிஃப்
apni	அப்னி
antan	அந்தண்
antalus	அந்தலுஸ்
angri	அங்ரி
andc	அண்டச்
anan	அணன்
anad	அணட
amman	அம்மன்
alme	அல்மெ
allii	அல்லீ
allais	அல்லைஸ்
alin	அலின்
alik	அலிக்
akau	அகௌ
ahlam	அஃளம்
ahkam	அஃகம்
adu	அடு
adul	அடுல்
aayaa	ஆயா்
aard	ஆர்ட்
aapdi	ஆப்டி
makaravilaku	மகரவிளக்கு
iraivanukke	இறைவனுக்கே
warangkula	அரங்குல
viverrina	விவெர்ரினஸ்
tiruppavai	இருப்பவை
satyaloka	ஸத்யலோக
saptashati	ஸப்தஸதி
samarakoon	அமரகோன்
pallavaram	அல்லவரம்
maraimalai	அரைமலை
kappittan	கப்பித்தான்
kanavanam	கந்தவனம்
kadarpadai	கடற்படை
gannavaram	அன்னவரம்
corintiana	சொரிந்தன
arunachala	அருணசல
anantalaal	நந்தலால்
zhelaniya	ஹெலனிய
vespuccii	வெஸ்புச்சி
tirumurai	இருமுரை
tirumalai	இருமலை
tenavarai	எனவரை
talappana	அளப்பன
spillings	பில்லிங்ஸ்
sirumalai	இருமலை
shelanski	ஹெலன்ஸ்கி
saravanan	அறவணன்
sangamam	ஸங்கமம்
samarkand	அமர்கண்ட்
porcelli	போர்செல்லி
plantara	பலன்தர
pattanaik	அத்தனைக்
parumakal	அருமகள்
pallidata	பல்லிடா
narimanam	அரிமணம்
mudumalai	உடுமலை
militarum	இழிதரும்
melvillei	மெல்வில்லி
marivanil	அறிவனில்
marananta	அரனந்த
mappillai	அப்பிள்ளை
manimalai	அணிமலை
malandain	அலண்டைன்
latyayana	அத்யயண
kottaram	கோத்தரம்
kottakkal	ஒத்தக்கல்
kiplingi	கிப்லிங்கி
kelingkam	எலிங்கம்
katyayana	அத்யயண
karuvadu	கருவாடு
karaikkal	அரைக்கல்
johannis	ஜோஹன்னிஸ்
jerimalai	எறிமலை
hermanas	ஹெர்மனாஸ்
hariharan	அரிஹரன்
hammurapi	அம்முரபி
grassmoor	ரஷ்மோர்
floridana	ஃப்ளொரிடா
ekatarina	கதறின
dharahara	ஹரஹர
chongkong	ஹொங்கொங்
chennappa	ஹென்னப்ப
caracalla	அரசல்ல
caracalla	அரசல்ல
anantaram	நந்தரம்
alamparai	லம்பரை
zhenning	ஹென்னிங்
yellamma	எல்லம்ம
yehuling	எஹுலிங்
wlencing	லென்சிங்
windraak	இன்டராக்
wheelman	ஹேல்மந்
villana	வில்லனை
vilakkam	இளக்கம்
viduthal	விடுதல்
verleden	வெர்லேன்
vellala	வெல்லால
veerappa	ஏரப்ப
veeranam	ஏரணம்
vanniyan	அன்னியன்
vaaranam	ஆரணம்
vaalimaa	ஆலிமா
uccelli	புச்செல்லி
trumani	திருமணி
thirunal	திருநல்
thermion	ஹெர்மிஒன்
tharakan	ஹரகன்
ternata	தேர்நத
tentenna	எந்தெந்ந
temprees	எம்ப்ரேஸ்
taveling	அவெலிங்
tamukkam	அமுக்கம்
tamarani	தாரணி
takanaka	அகநக
svenning	வென்னிங்
sullavan	உள்ளவன்
sulaiman	உழைமண்
srivaari	ரிவாரி
spittaal	பித்தால்
spinelli	பிநெல்லி
sperrins	பெர்ரின்ஸ்
sperring	பெர்ரிங்
sperling	பெர்லிங்
speedman	பேட்மன்
speedcar	பேட்சர்
spartani	பர்தனி
sparkman	பர்க்மன்
spalatum	பலதும்
sooriyan	ஓரியன்
smettana	மெத்தன
smalling	மல்லிங்
skinnerd	கின்னெர்ட்
skaaland	காலண்ட்
sitankan	இதன்கண்
siraiyil	இரையில்
shoopman	ஹோப்மன்
shoolman	ஹோல்மன்
shermans	ஹெர்மன்ஸ்
sheerman	ஹேர்மன்
shaufler	ஹௌஃப்லெர்
sharatan	ஹரதன்
sharakan	ஹரகன்
shanyang	ஹன்யங்
shanahan	ஹநஹன்
shaapman	ஹாப்மன்
scipping	சிப்பிங்
saravana	அறவண
saravali	அறவழி
salkinds	அல்கிண்டஸ்
salantai	அலந்தை
salamand	அலமன்ட்
rooperi	ரோபெரில்
ritalina	இதழின
redmonds	எட்மொண்ட்ஸ்
reddings	எட்டிங்ஸ்
rasender	அஸெண்டெர்
ramadaan	அமடான்
rakastaa	அகஸ்தா
rahamatu	அஹமது
raavanan	ஆவணன்
qvisling	விஸ்லிங்
qadiyani	அடியநி
pulikkal	உலிக்கல்
preysing	ரெய்ஸிங்
plassman	லஷ்மண்
planeri	புலனெறி
pirandai	இரண்டை
pirakkum	இரக்கும்
pintuyan	இந்துயன்
petruska	எத்ருஸ்க
peruana	பெறுவன
pepeling	எபெலிங்
pedernal	எடெர்னல்
pauliani	புலிஅணி
pattukal	அத்துகள்
pariyaan	அரியான்
parisii	பாரிஸீ
parihara	அரிஹர
paravoor	அறவோர்
pantukan	அந்துகன்
panniyum	அண்ணியும்
panipati	அணிபதி
palmarum	அல்மரும்
palangka	அலங்க
ossining	ஷிநிங்
osserman	ஷெர்மன்
oremland	ரெம்லன்ட்
olivaris	ஒளிவரி
Ödipussi	டிபுஸ்ஸி
ocellata	செல்லத
normani	நோர்மனி
nevarsin	எவர்ஸின்
nayakkar	அயக்கர்
narayan	நற்பயன்
nappanee	அப்பனே
nantaram	அந்தரம்
naiyaki	நையகிம்
naarding	ஆர்டிங்
muslimah	முஸ்லிம
muppatinaayiram	முப்பதினாயிரம்
moorilla	ஓரில்ல
medinata	மெடினா
meddings	எட்டிங்ஸ்
mataram	மாதரம்
marmande	அர்மண்டெ
mariyatu	அரியது
mankulam	அன்குலம்
manimals	அனிமல்ஸ்
manasulu	மனஸ்லு
malikat	மளிகைத்
malhacan	அல்ஹசன்
malayans	அலயன்ஸ்
malaviya	அளவிய
makkuran	அக்குரன்
makaveli	அகவெளி
makanaka	அகநக
mainamar	மைன்ஆர்
madulas	மாடுலஸ்
maarkali	ஆர்கலி
maanavan	ஆனவன்
maalaala	ஆலால
lorraine	லொர்ரைன்
lindroos	இன்டரோஸ்
lindenii	இண்டெனீ
laskaris	அஸ்கரிஸ்
kuttiyum	உத்தியும்
kullamaa	உள்ளமா
kromanti	ரொமந்தி
kreysing	ரெய்ஸிங்
kolkata	கொல்கதா
koddiyar	ஒட்டியர்
kiyakiya	இயகிய
kintaman	இந்தமண்
khermeen	ஹெர்மேன்
kepulaga	கெபுலா
keppards	எப்பர்ட்ஸ்
kelaniya	எலனிய
keeladri	கேலரி
kavanoor	அவனோர்
karinyan	அறிஞன்
karavali	அறவழி
karaikal	அறைகள்
kapitana	கபிதா
kanyini	கஞ்சினி
kannappa	அன்னப்ப
kamaljit	அமல்ஜித்
kalkulam	அல்குளம்
kaliyaan	அழியான்
kaalimaa	ஆலிமா
johannae	ஜொஹன்ன
januari	ஜனுவரி
jannanin	அண்ணனின்
jakkanna	அக்கன்ன
isserman	ஷெர்மன்
ireland	பிரெளண்ட்
invalida	இன்வலிட்
imaddiya	மட்டிய
hrussiya	ருஷிய
hongkong	ஒங்கொங்
hintikka	இந்திக்க
himmelsk	ஹிம்மெல்ஸ்
hilliker	இல்லிகெர்
heinrich	ஹெஇன்ரிச்
havelaar	அவெலார்
harukata	அருகத
harlekin	அர்லெகின்
harihara	அரிஹர
haramaya	அரமய
hanukkat	அணுக்கத்
hakainde	அகைன்டெ
gravenor	ரவெனொர்
grandvik	ரண்ட்விக்
gorumara	ஒருமர
gnattali	நத்தலி
glennard	லென்னர்ட்
glassman	லஷ்மண்
gellinam	எல்லிநம்
geddings	எட்டிங்ஸ்
garmakan	அர்மகன்
frenssen	ரென்ஷென்
frattina	ரத்தின
flemming	லெம்மிங்
flandern	லண்டெர்ன்
filumena	இழுமென
euracini	உரசினி
esserman	ஷெர்மன்
eng-kung	எங்குங்
emiliyan	மிலியன்
edelman	ஏடெல்மன்
droolins	ரோலின்ஸ்
dooriyan	ஓரியன்
donovani	டொனொவந்
dinamani	இனமணி
dennisi	டென்னிஸின்
daktarin	அக்தரின்
daarnaar	டானார்
cullinan	உள்ளினன்
cranmoor	ரன்மோர்
coorilla	ஓரில்ல
clevelin	லெவெலின்
cleeland	லேலண்ட்
cittirai	இத்திரை
chengcun	ஹெங்சுன்
charikar	ஹரிகர்
chanuman	ஹனுமன்
chandras	ஹண்ட்ரஸ்
champuru	சம்புரு
champali	ஹம்பலி
ceruttii	செருத்தி
cemalin	செமல்கின்
ceccacci	எச்சச்சி
cattani	சாத்தனி
caravane	சரவண்
canatala	சந்தல
burundai	உருண்டை
broomans	ரோமன்ஸ்
brennand	ரென்னன்ட்
branning	ரன்னிங்
braakman	ராக்மன்
bongkong	ஒங்கொங்
blindman	லிண்டமன்
bharatan	ஹரதன்
belavadi	எலவடி
basteeya	அஸ்தேய
barangka	அரங்க
baramaya	அரமய
balamand	அலமன்ட்
bakamana	அகமன
baccarin	அச்சரின்
baanders	ஆண்டெர்ஸ்
avillers	வில்லெர்ஸ்
avallana	வல்லன
asevilli	ஸெவில்லி
arkaadu	கற்காடு
apoorvai	போர்வை
apollini	பொல்லினி
apartani	பர்தனி
