yoka	โยคะ
yng	ญง
yich	ยิช
yal	ยอัล
wolle	วอลเล
weii	เวี
uun	อูน
torres	ทอร์เรส
tcha	ตจะ
staar	สต้าร์
sng	ซ่ง
saeng	แซง
saal	สาฬ
saad	ซาด้
rollo	รอลโล
rech	เร้จ
ral	รัล
rald	รัลด์
pisi	พิศิ
paayo	ปาโญ
nwi	นวิ
nuur	นูร์
nuee	นื่
ntr	นทร์
ngin	งอิน
ngam	ง้ำ
nerii	เณรี
neil	เนิล
nea	เนะ
naso	นะโส
naer	แนร์
muur	อมูร์
maio	ไมอ็อ
lya	ลอยั
lobbii	ล็อบบี้
lii	อลี
kuus	กูส
kuun	คูณ
kuuk	คูก
kran	ครั้น
kosi	โกศิ
korp	กอร์ป
kolde	โกลเด้
kida	คิดั
kichi	กิจิ๋
khaeng	คอแห้ง
kamp	กัมป์
kair	ไคร้
iba	อิบะ
huur	ฮูร์
hra	หรั่
holde	โฮลเด
habba	ฮับบะ
fii	ฝี
faar	ฟาร์
dron	ดรอน
drak	ดรัก
dlo	ดล็
dinh	ดิ่นห์
deng	เด้ง
dalles	ดัลเลส
dallas	ดัลลัส
choku	โชกุ
cheh	เจห์
borde	บอร์เด
beso	เบอซ็
amman	อัมมัน
aayaa	อาญา
aard	าร์ด
vernandes	เอร์นันเดซ
sangstrom	อังสตรอม
langstrom	อังสตรอม
formosana	ฟอร์โมซา
floridana	ฟลอริดา
fernandes	เอร์นันเดซ
wrington	ริงโทน
tsentral	เซนทรัล
tripoli	ตริโปลี
simonii	ซิมโฟนี
schokker	ช็อกเกอร์
schatter	ชัตเตอร์
puraanam	ปุราณะ
orangkai	รังไข่
nairobi	ไนโรบี
lufthavn	ลุฟท์ฮัน
kristall	กริสตัล
kraschel	รัซเชล
hongkong	ฮ่องกง
grennell	เรนเนลล์
chowking	ฮอว์กิง
brington	ริงโทน
brandon	บรันเด็น
adestine	เดสทิเน
adelhaid	อเดลไฮด์
varekil	ะเรคิล
underel	นเดอเรล
tyerman	เยอรมัน
triffin	ริฟฟิน
trelles	เรลเลส
tingkat	ธิงค์ท
teknisk	เทคนิค
teilen	เติลเฟน
tamarii	ธารี
stennis	เทนนิส
steling	เถลิง
stampin	ตัมปิน
smedley	เมดเลย์
skaaren	ก้าเรน
simchai	อิ่มใจ
shandel	ฮันเดล
schuurs	ชูรส
schoren	โชเรน
schonen	โชเนน
schnitt	ชนิตถ์
schmitt	ชมิตต์
schluss	ชลุสส์
schlapp	ชลัพพ์
schilde	ชิลเด
schanab	จันอับ
schalke	ชัลเคอ
prayang	ระยัง
piriyai	พิริยะ
pilsach	อิลซัจ
ottwell	ตต์เวลล์
ongkaar	งการ์
olimpik	ลิมปิค
ochamps	จัมป์ส
oberlin	เบอร์ลิน
obering	เบริง
norwell	ออร์เวลล์
nordine	ออร์ดิเน
namrung	อำรุง
morwell	ออร์เวลล์
maackii	มากี
llorens	โลเรนซ์
leueley	เลื้อย
krichna	ริชณะ
krechel	เรเชล
korona	โคโรนา
kimchii	กิจี
kchacha	จะจะ
kangchi	อั้งฉิ
kalamii	คามี
kachchi	อัจจิ
kaarti	คาร์ธี่
isaakiy	สากิย
iribbin	ริบบิ้น
imortal	มอร์ทัล
imatong	มะต้อง
handels	ฮันเดล
gwinner	วินเนอร์
gwichya	วิชญะ
gribbin	ริบบิ้น
graffer	รัฟเฟร
gordine	ออร์ดิเน
florens	โลเรนซ์
fechan	แฟชั่น
eyerman	เยอรมัน
espinel	สปิเนล
espinal	สปินัล
echdach	ชดัช
eberlin	เบอร์ลิน
daaraan	ดารา
chucho	จูโช
chongxi	โชงิ
chemong	เหม็ง
chaucha	จะจะ
changle	ฮังเล
champa	จำปา
chairal	ไฮรัล
brendel	เรนเดล
brendal	เรนดัล
breiten	บริเตน
brannam	รอันนัม
brandti	บรันดิ
bordine	ออร์ดิเน
blondon	ลอนดอน
blondel	ล็นเดล
bimport	อิมพอร์ต
biising	บีอิ้ง
beffen	เบรฟเฟน
asterio	สเตอริโอ
arrende	อร์เรนเด
ariffin	ริฟฟิน
arendal	เรนดัล
anumati	อนุมัติ
anuchit	อนุชิต
anderel	นเดอเรล
amichai	มิใช่
amatong	มะต้อง
amantes	มันเทศ
aldwell	ลด์เวลล์
albert	กัลเบรธ
akilles	กิลเลส
aberlin	เบอร์ลิน
mississippii	มิสซิสซิปปี
zwolle	วอลเล
zweins	เวินส์
zinter	อินเตอร์
zintel	อินเทล
zhangs	หังส
yukaba	ยกับอะ
yrisch	ริสช์
yerres	เอร์เรซ
yellis	เอลลิซ
ybrant	บรันท์
yashar	อัซฮัร
yaburu	ยอะบู
xander	อันเดอร์
wylich	ยลิจ
wprost	พร็อสต์
wonson	ออนซอน
wintel	อินเทล
wilden	วิลเด
wiiter	อีเทอร์
wernes	เอร์เนส
wellis	เอลลิซ
weirii	เวรี
wattis	อัฐทิศ
wanati	วาทิ
waelde	แอลเด
vroman	โรมัน
vilkis	อิลกิซ
vernes	เอร์เนส
vellis	เอลลิซ
vattis	อัฐทิศ
valmar	อัลมัร
valdis	อัลดิส
valdas	อัลดัส
vaanam	านัม
utumno	ทุมโน
