zita	自他
zhixian	只限
zhiguan	直观
zhennan	真难
zeru	澤入
zaji	杂技
yunfu	孕婦
yundong	運動
yuebao	月報
yizong	遗踪
yishu	逸书
yinyu	淫慾
yinyuan	銀圓
yinshuguan	印书馆
yingling	英靈
yiji	伊集
yaoyan	耀眼
yanu	言う
yange	沿革
xuanyi	懸疑
xuanshu	悬殊
xinzheng	信政
xiaozhuan	小篆
wenzhu	文竹
wenti	問題
wenjian	稳健
weii	違い
weigong	為公
waren	蛙人
wani	挖泥
tuzhi	圖紙
tongzong	同宗
tongjian	通鑑
tianzi	添字
suoyin	索引
suoshuo	所説
suanshu	算术
songshan	嵩山
sikong	司空
shuwang	树王
shufu	束腹
shouyi	首邑
shiran	使然
shimai	时脉
shilu	実録
shibai	失败
shezheng	攝政
sheshou	射手
shenshan	神山
sheji	射撃
sheba	射靶
senpu	森浦
sanji	散剂
sancai	散财
sanbao	伞包
rou	煣
ribao	日報
renge	人格
quanzhi	全脂
qi2	其二
pinglun	評論
nuxu	女婿
nitu	逆徒
niehe	捏合
nennen	嫩嫩
neibu	内部
milan	米蘭
mazei	馬賊
malei	马累
lunji	論及
longhu	龍虎
lingqian	领钱
limi	立米
limao	礼帽
leju	樂句
laite	萊特
kude	哭得
koushi	口實
jinjian	今見
jinggang	景綱
jijie	幾節
jiayi	甲乙
jiaozhu	教主
jianwen	见闻
jiangjun	将军
huiyao	輝耀
huida	會打
huashu	話術
huanpei	环佩
huaman	華鬘
huali	花笠
hongru	宏儒
honglu	红绿
gusu	古俗
gujie	骨節
gufa	骨法
gude	故地
guba	古巴
ganshi	幹事
ganji	乾季
gange	扞格
fenbu	分佈
faran	法然
fabao	法寶
erya	尔雅
erba	而把
eran	俄然
duben	读本
dongfang	洞房
deng	凳
dengzi	戥子
denge	燈蛾
dengan	登岸
dazu	大足
dazhuan	大賺
dayi	大衣
danke	蛋壳
dani	大逆
damin	大皿
dalasi	达拉斯
dake	搭客
dafu	大輔
dade	大地
chongxi	沖洗
chenmo	沈默
butie	補貼
buhan	不含
budang	不當
boze	博則
bowuyuan	博物院
bashe	跋涉
banyuekan	半月刊
bailan	白蘭
antan	安曇
anan	暗暗
aishi	碍事
aisha	愛紗
aimei	曖昧
agu	阿古
adan	阿丹
abei	阿倍
zhuangzhuang	皇庄
zhuangxiang	幌向
shuangjiang	荒江
changweihui	航委會
