זיא	鴉
זאם	암
ינג	蛍
יאל	알
וּמָה	うま
טיראן	예란
סנג	ㅇ
סלף	ㅅㅂ
סאנז	散
סאגט	삭토
סאאד	ຊາດ
רֶשֶׁת	熱河
ראל	알
ראלד	랄
רַבּוֹת	라보
קאא	ああ
נין	뉸
נְהָרוֹת	내해로
נאראיאן	카라얀
מלם	밂
מכל	كل
מאטאראם	마타람
ליא	鴉
לוּק	綠
לש	ש
לְשׁוֹן	ション
כגל	كل
כאג	칵
הרא	ハラ
האק	하
האמן	하몬
הַלֵּב	할에
פאראן	아란
אֶמֶה	에메
דון	בן
דוֹדִי	오디
חֶה	澈
חָלָב	ชา
בָּתֵּי	밭에
אזז	ζζ
איאד	아야도
אָוֶן	앤
אוּרִי	우리
אסיר	아쇼로
אקסא	アサ
אוֹרִי	가오리
אנזא	安在
אנדד	탄띠
אנאן	南
אנאד	アナ
אגאן	ガン
אדאן	儋
אחא	叉
סאנגיאנג	상양
הֶרְמַן	헤르만
מְדִינַת	메디나가
תאנאגאר	탄자가
אֱלֹהֵינוּ	러헤인
אנשאן	鞍山
אנפאנג	安房
האטמאן	함안
אנשאן	鞍山
אָחִיךָ	ちか
הארכאי	하루카의
האגארד	하가라도
טאראנד	사란디
אניאנג	安陽
טאנארא	안가라
פְּרָטוֹ	프라토
שאפראן	하란
אניאנג	安陽
אנשאן	鞍山
אנפאנג	安房
אנדראס	ανδρέας
אלזמאן	알만
אלאדין	الدين
רַגְלִי	랑겔
אוֹתָךְ	나오타케
אניאנג	安陽
אנשאן	鞍山
אנפאנג	安房
אנדהאן	안도한
אנדראס	ανδρέας
אנשאן	鞍山
אנפאנג	安房
נֶאֱמָן	내에만
האנסאר	한사
האנדאן	한단
הָלַךְ	할애
אלמאנד	알만
הֶנְרִי	헨리
הארלאן	하라니
האראלד	하랄의
אניאנג	安陽
אנשאן	鞍山
האריאן	하얀
גנגסטא	겟타
אנשאן	鞍山
אניאנג	安陽
ראגנאר	라구나로
אניאנג	安陽
האטמאן	함안
האנדאן	한단
אגאטאי	아가타의
האנדאן	한단
בראהאם	라함
רַבָּתִי	랍티
דאראנג	다량
זֶנגִי	政司
בּוֹרוֹת	보로타
איסאן	아산
אינאל	아날
אידאן	아단
ארדאן	아단
זָרָה	ざま
אלמאן	알만
אָלָגָ	살아가
באראל	아랄
ארסאן	아라산
ארמאן	아만
אניאן	安彦
יאמאטו	やまと
אלמאן	알만
ינדאל	윤달
הֶלֶר	헬에
אימאן	아만
אָשָׁם	아함
אריאס	아랴
ארסאן	아라산
ארמאן	아만
אניאן	安彦
אנסאן	안산
אנגאן	팡안
אלהאם	잘함
אהראם	아람
ווֹלקני	올뉴
באסאן	갓칸
ארלאן	아란
ארגאל	아랄
ארדאן	아단
בראנן	아란
אניאס	아냐
אנאנד	아난다
אמשא	암사
אללאה	الله
באדרא	알라
אהראם	아람
שאנט	シャンティ
סְדוֹם	에돔
אוּנִיטִי	니티
מטאטא	마타타
מאימא	마야마
מאנאך	마나카
לואנג	朗
ינדאל	윤달
סאגאן	사간
רֶנְט	렌에
האיאן	하얀
האמאר	하마
הָמָן	함안
איראן	아란
אינאל	아날
אתהאם	아함
אסמאן	맛만
אסאנה	아산호
ארמאן	아만
ארלאן	아란
ארדאן	아단
אניאס	아냐
