זיא	ย์อะ
זאם	อั้ม
זאח	อัจ
יוי	ย่อย
יטב	อยท์
ינג	ญง
יהל	หล
יאל	อัล์
וּבֵין	อึน
וּמָה	มะฮฺ
טיראן	ญ์ณรัณ
תקמ	ธม
סרל	รล
סנג	ง้
סלף	สลิป
סאנז	สัณ
סאגט	ษัต
סאאד	อาด
רֶשֶׁת	เรสท์
ראל	อัล์
ראלד	รัลด์
רַבּוֹת	อร์บ็อต
קאא	อ๊า
ניי	ย่อย
נין	ยนฺ
נוי	ณย
נטר	นทร์
נאראיאן	อายัน
מיג	มย์
מטף	มณฑป
מראז	มระ
מלם	มลำ
מכל	มกอล
מאטאראם	มาระ
ליא	ย์อะ
לוּק	ลุ
לש	สห์
לְשׁוֹן	เล็น
כגל	กงล้อ
כאג	กัง
הרא	หรั่
האק	ฮ่ะ
האמן	หม่น
הַלֵּב	ฮัลเด
גראנטה	รอันท์
גהי	หอย
פאראן	ฟาน
פאאר	ฟาร์
אֶמֶה	เมห์
דון	ดน์
דוֹדִי	โอดิ
דהן	หนฺ
דָבָר	ดาร์
חֶה	เฮห์
חָלָב	ชะล่า
בָּתֵּי	กะเทย
איד	ยอด
איאד	ยัด
אָוֶן	แอน
אנזא	อะนะ
אנאן	ณัน
אנאד	นัด
אגאן	าณ
אדאן	ดั้น
אחא	จ้ะ
אחאב	อาจั๊
אנפאנג	นฟั่ง
ארדהאן	คาร์ดฮัน
האגארד	ฮาร์ด
טאראנד	ทรันด์
טאנארא	ธารั
שאפראן	ห่าน
אנפאנג	นฟั่ง
אלאדין	อัลอัยน์
רַגְלִי	ระงิ
ראשאד	ระหัด
ארצח	แฮร์ทสช
סטראנד	ทรันด์
סטראנד	ทรันด์
אנפאנג	นฟั่ง
ארצח	แฮร์ทสช
אחראי	จรัญ
אנפאנג	นฟั่ง
אלמאנד	ลมันด์
שראתה	สหรัฐ
ארצח	แฮร์ทสช
ארדהאן	คาร์ดฮัน
אליאנס	อัลยัส
בראהאם	ระห่ำ
סטראנד	ทรันด์
סטראנד	ทรันด์
רחמאן	ชมัน
דאראנג	ดรัง
חֶרֶשׂ	เชเร
טראנס	ทรานส์
ראבאן	รานฺ
