오카	โยคะ
蛍	ญง
義齒	ยิช
알	ยอัล
월에	วอลเล
違い	เวี
うん	อูน
터렛	ทอร์เรส
叉	ตจะ
スター	สต้าร์
ㅇ	ซ่ง
앵	แซง
사살	สาฬ
ຊາດ	ซาด้
롤로	รอลโล
알	รัล
랄	รัลด์
이시	พิศิ
아파요	ปาโญ
위	นวิ
女兒	นูร์
ねえ	นื่
안긴	งอิน
감	ง้ำ
네리	เณรี
에일	เนิล
에아	เนะ
아소	นะโส
내리	แนร์
무우	อมูร์
아이오	ไมอ็อ
鴉	ลอยั
이이	อลี
쿠우	กูส
우운	คูณ
쿠우코	คูก
染	ครั้น
오시	โกศิ
코리페	กอร์ป
올드	โกลเด้
이다	คิดั
いち	กิจิ๋
행	คอแห้ง
캄피	กัมป์
카이로	ไคร้
巴	อิบะ
후우리	ฮูร์
ハラ	หรั่
올드	โฮลเด
아빠	ฮับบะ
이이	ฝี
론	ดรอน
だらけ	ดรัก
ド	ดล็
딘	ดิ่นห์
엥	เด้ง
댓	ดัลเลส
달랏	ดัลลัส
호쿠	โชกุ
澈	เจห์
보데	บอร์เด
에소	เบอซ็
마만	อัมมัน
아나야마	อาญา
أرض	าร์ด
바링톤	ริงโทน
센트랄	เซนทรัล
심온이	ซิมโฟนี
푸라나	ปุราณะ
랑카위	รังไข่
나이로비	ไนโรบี
논공	ฮ่องกง
렌넬	เรนเนลล์
호킹	ฮอว์กิง
바링톤	ริงโทน
란동	บรันเด็น
대신에	เดสทิเน
엘하이다	อเดลไฮด์
野蠻	เยอรมัน
잉카타	ธิงค์ท
일엔	เติลเฟน
타마린의	ธารี
텐미닛	เทนนิส
悪霊	เถลิง
탐인	ตัมปิน
カレン	ก้าเรน
핸델	ฮันเดล
超人	โชเรน
호넨	โชเนน
힐데	ชิลเด
루아양	ระยัง
피리의	พิริยะ
베링	เบริง
오딘에	ออร์ดิเน
삼릉	อำรุง
마치이	มากี
레헬	เรเชล
포로나	โคโรนา
きち	กิจี
アンチ	อั้งฉิ
칼라미티	คามี
かなり	คาร์ธี่
사다키요	สากิย
리빈	ริบบิ้น
모탈	มอร์ทัล
말통	มะต้อง
한듯	ฮันเดล
리빈	ริบบิ้น
오딘에	ออร์ดิเน
諂	แฟชั่น
野蠻	เยอรมัน
피넬	สปิเนล
다라만	ดารา
初出	จูโช
洪憙	โชงิ
해몽	เหม็ง
畜産	จะจะ
长乐	ฮังเล
하파	จำปา
하이랄	ไฮรัล
렌델	เรนเดล
랜달	เรนดัล
레이튼	บริเตน
안남	รอันนัม
란디	บรันดิ
오딘에	ออร์ดิเน
이싱	บีอิ้ง
테리오	สเตอริโอ
아렌델	อร์เรนเด
랜달	เรนดัล
미하이	มิใช่
말통	มะต้อง
아마네	มันเทศ
웨인	เวินส์
인텔	อินเทล
항수	หังส
カバ	ยกับอะ
아부르	ยอะบู
왼손	ออนซอน
이넬	อินเทล
힐덴	วิลเด
偽り	เวรี
마나티	วาทิ
엘데	แอลเด
로만	โรมัน
알마리	อัลมัร
알디	อัลดิส
아닷	อัลดัส
안암	านัม
투팅	อตทิง
ຊາດ	สต๊าด
세모	เสม็ด
리마	รีมั
리바인	อร์ไบน์
융캉	งกัณ
암바	กัมบะ
赤熱	ชิเร
안나	วัณณะ
셍	ซึ้ง
로메로	โรเมอร์
로체	โรเช
로케	โระเค
레넌	เรเนน
人的	เรนเดอ
람파	ทรัมป์
오한	ออร์ฮัน
왼손	ออนซอน
오한기	โอะงิ
리티	ฑีธิ
이모리	ติมอร์
헤링	หริ่ง
호네	โฮร์เน่
힐데	ฮิลเด
허도	เห็ดโ
항수	หังส
한기	ฮะงิ
하이네	ไฮเน
햇	แฮร์ส
행	แฮง
태안에	เทวัน
에란	เอร์นัน
텔은	เทลเล
笹川	ทชั่น
寵	จ๋อง
ほか	โชคั
称	เฉ่ง
称	เฉ่ง
暢	ชัง
앞판	อัพภัน
남파	ทำไพ่
참판	อำพัน
아민	ตัมปิน
아이론	ไอรอน
태울	ทัฟเนล
위엣	วิเทศ
윙에	สวิง
シティ	สถิติ
테레	เตร์เร
터핀	เทพิน
아톤	ทอะธอน
타마마	ธัมมะ
타알	ตาห์ล
포티	ปอร์ติ
포레	สปอร์ต
폴이	โปลี
오칸	พอกัน
피탈	พิทัล
피리의	พิรี
펠릿	เพริศ
펀	เป็นก
판타	พันธะ
밀에	มอิเลค
밀도에	มิลเด
아틴	ละติน
쿠랑	ครั่ง
코로네	คอร์เน
킬에	กิลเล
킬에	กิเลส
けり	เกริก
칼톤	กะล่อน
카타라	การั
카타나	กานั
소피	โสพิศ
인텔	อินเทล
신봉	สนอง
후쿠미	ฮูมิ
후벵	ฮึง
히란	หิรัณ
히란	หิรัณ
しっぽ	ฮิปโป
에몬	เหม็น
漢和	หันเห
한바	ฮันบะ
하케	หักเห
하이네	ไฮเน
아빠	ฮับบะ
세만	สมันต์
데로	เดร็ธ
소티	โสตถิ
치환	ชวัน
ชา	ชรา
ちょっと	ชอทท์
호네	โจเน
히네	จิเน
헬에	เชเล
헤인	เจิน
헤인	เจิน
헤임	เชิม
헤일	เจิ้ล
チェリー	เจี๊
暢	ชัง
ชัก	ฌักส์
치하인	ใจอ่อน
ชัก	ไจก์
핼	แชล
ชา	จ่าย
ชา	จาร
ชา	จาป
茶碗	จ้าน
하알	จาล
ชา	จาฟ
ชา	ชาด
샵	สัญญะ
아톰이	อะตอมิ
アパート	ซาต็
삼투	ซัมมิท
살맛	อัลมัส
아합	อัลฮับ
알바이	อัลไบ
アーサー	อาษา
渟	ติงส
오씨	รอสซี่
로시의	รอสซี่
왼손	ออนซอน
히타	โรหิต
리키치	ริกี
혼도	ฮอนโด
체왕	เอวัง
레테	เรชต์
앞판	อัพภัน
아항	อะหัง
아싸	อัษษา
잇토	พิสโธ
로체	โรเช
人的	เรนเดอ
페라티	รัตติ
라시티	ระสี
오웰	ปเวลล์
소통	โอ่โถง
왼손	ออนซอน
오한기	โอหัง
乐业	เลเยอร์
爱的	ไลเด
파가	พล่าม
인텔	อินเทล
하나에	ฮั่นแ
퍼밋	เพริศ
앞판	อัพภัน
판게아	อะเงะ
팔수	ปาลู
팔아라	ปารั
아항	อะหัง
야미	ยัมปิ
윙	วิ้งซ์
투팅	อตทิง
투팅	อตทิง
타키온	ตะกอน
쉘	สเวลล์
所持	โศจิ
司令	สลิง
사마위	สะไม
루팅	อร์ธิง
로빈이	โรบี
리닝	รนิง
마알	รมาล
人的	เรนเดอ
랑이	ระงิ
라함	ระห่ำ
코피토	พิสโธ
메리테	เมอริท
竜馬	โลงั
올딩	ลดิ้ง
아이야	ไลยั
爱的	ไลเด
키네	คิเนส
玲	หลิ่ง
하나키	ฮากิ
大領	ดลิง
大領	ดลิง
다이바	ไดบะ
諂	ชมัน
벨렌	เบเรน
오웰	นเวลล์
콤보	คอมโบ
한데	ฮันเด
네엘	นเวลล์
아톰이	อะตอมิ
あなた	นาทั
남파	น้ำป่า
암만	อัมมัน
아라라	นารา
나두	นาดึ
왕이	วะงิ
우수에	อุตสึ
파타라	ปารั
옷인	ออสติน
이수에	อิทสึ
인텔	อินเทล
밀이	มิลฟี
彌勒	มิลเด
엠버	เมมเบอร์
あっ	อัทสึ
아리에티	ไมถิ
안압	อันดับ
말포이	มัลโล
알레이	มาเลิ
알바	อัลบัศ
말타의	มายิ
아이테	ไมต์เน
아이콘	ไอคอน
아얀	อายัน
안암	านัม
祿俸	ลึง
老人	โลเรน
살맛	อัลมัส
애투	แลตซ์
라떼	แลดเด
아파넷	าเนส
샤잉	ไยง์
윈타이	วอินธิ
산티	สันติ
로메로	โรเมอร์
링	ริงส์
릴에	ริลเล
랭	แร่ง
라방	ราง
옷인	ออสติน
오한	ออร์ฮัน
코레아	โคะเระ
코논	โคนอน
나티	ณัฏฐิ
玲	ลิ่งส
콜라겐	คอแลน
앵	แลง
아앙	ล้าง
킹이	กินี
킨제이	คินเด
키텔은	กิเลน
호네	โฮร์เน่
ほほ	โฮโช
훙	หลุง
한데	ฮันเด
할대	ฮัลเด
하이르	ไฮเร
하이네	ไฮเน
행	แฮง
하안	คอห่าน
에란	เอร์นัน
恩賜	เกจิ
엠피	เคมปิน
켐페인이	คมฺภี
바싹	กัสสะ
앞판	อัพภัน
아판	กะลัน
앞이나	ใขณะ
캄라	กะรัต
아마이	อำไพ
암만	อัมมัน
알마리	อัลมัร
알타이	คาไล
카카가	กาลั
카라마	กามั
다이마이	ไอไม
아항	อะหัง
카라마	กามั
카타세	กาศเบ
안암	านัม
カービィ	อาบี
오한	ออร์ฮัน
왼손	ออนซอน
한데	ฮันเด
안익수	อังศุ
الله	อัลลอหฺ
와카키	วากิ
핼	ตอแหล
탈혼	ตะลอน
사마안	สมาน
사잇	สไลซ์
세타	เสฏฐะ
산티	สันติ
사타케	สาเก
라티	รัตติ
이파네마	อีแปะ
왼손	ออนซอน
안팅	นทิ้ง
곧아	งอดั
낙만	งมัน
엔딩	อนดิ้ง
멍	เม็ง
키리마	กริมั
카탄	กะทัน
황	หวั่ง
히타	จิตั
チキン	จิคิ
赤坂	ชิบะ
체험	เจ็ม
아예렛	เยเรส
린과	หริ่ง
라바	ระบำ
옷인	ออสติน
紅土	อองธุ
오랑	หอวัง
아잉	ไลง์
이기타	ฮีตัม
에란	เอร์นัน
河洛	เฮลโล
엘체	เอลเช
아쉬운	อัศวิน
암만	อัมมัน
알바	อัลบัศ
샤잉	ไยง์
왕이	วะงิ
ຊາດ	สต๊าด
로티의	โรตี
로만	โรมัน
리티	ริฏฐิ
링	ริงส์
레넌	เรเนน
稔彦	เรนัน
레날	เรนัล
라나	ระณัฐ
라덴	ระเด่น
옷인	ออสติน
오리이	ออร์กี
왼손	ออนซอน
한티	ฮันทิ
로만	โรมัน
로나	โรหณะ
링	ริงส์
릴에	ริลเล
이리떼	ริดเด
人的	เรนเดอ
레잇	เรินส์
레위인	เรีน
ήδων	เรดอน
レディ	เรดดิ
라티	รัตติ
오한	ออร์ฮัน
老人	โลเรน
인텔	อินเทล
에란	เอร์นัน
윙	วิ้งซ์
투팅	อตทิง
玲	ทลิ่ง
에시리	เกษตริ
레나	เรนัส
레카	เรกัต
레인	เรินต์
玲	ปลิง
피로티	พิโรธ
핀셋	ภิเนษ
피나	พินัย
피나	พินัย
에삼	เอนไซม์
匿名	นมิง
낙만	งมัน
게키	เงคิ
센강	งอั้ง
玲	มลิง
밀에	มิลเล
ミホ	มิโช
오하이	โลไฮ
엘리시	เอลลิซ
킹	ลกิ้ง
올딩	ลดิ้ง
爱的	ไลเด
키리마	กริมั
케로	เคร็ต
克仁	เคอเรน
이레네	อิเรเน
하랑	หรั่ง
玲	หลิ่ง
チン	ชลิน
힝	ชิง
差出	ฌัช
웰에	เวลเล
파인	ไพนต์
오렌	ออร์เฟน
하랑	หรั่ง
혼도	ฮอนโด
徳永	เด็ง
체왕	เอวัง
엉	เด็ง
엉	เด็ง
드롬	เดร็ม
암만	อัมมัน
아민	ดำดิน
살맛	อัลมัส
댓	อัลเลส
알디	อัลดิส
다이마이	ไอไม
아가나	ด้านั้
다이아로	ดาร็
스펠	เสเพล
라잇	ไรตส์
옷인	ออสติน
오한	ออร์ฮัน
乐业	เลเยอร์
에몬	เลมอน
이레네	อิเรเน
인텔	อินเทล
황	หวั่ง
후벵	ฮึง
傳達	จะนะ
ほり	จอร์ดิ
ほほ	โฮโช
히란	หิรัณ
하알	จาล
한티	ฮันทิ
항수	หังส
한바	ฮันบะ
하나에	ฮั่นแ
하마	ชะมัด
하코	หักอก
하이로	ไฮร็
하이르	ไฮเร
하이네	ไฮเน
하바	จะบัน
하랑	ห้าง
하안	ฮานด์
에란	เอร์นัน
아이론	ไอรอน
우라나이	บุรณะ
不善	บุหลัน
ぶち	รุจิ
로만	โรมัน
리티	ริฏฐิ
렌에	เรเนส
人的	เรนเดอ
稔彦	เรนัน
ήδων	เรดอน
렌델	เรเดล
라함	ระห่ำ
라덴	ระเด่น
보디의	บอดี้
소통	โอ่โถง
옷인	ออสติน
오한	ออร์ฮัน
올덴	โบลเด
乐业	เลเยอร์
아이케	ไลเค
임박	บิมบับ
하안리	หาริ
하랑	ห้าง
베레타	เบเรต์
자양	อบาง
박사팀	บาทิ
아나이	บันได
바라다	บาดั
암만	อัมมัน
다이마이	ไอไม
아항	อะหัง
와타라	วารั
투렛	ทุเรศ
타니타	ตัณฑะ
싸우라	สสุระ
소피	โสพิศ
신이치	สินี
리닝	รนิง
네일	อร์เนิล
레날	เรนัล
디네	รดิเน
베인	อร์เบิน
리바인	อร์ไบน์
라잇	อามิส
아빠	ระบบั
아폴로	พอลโล
아폴로	พอลโล
피난	ปินัน
판트	พันธ์ุ
판타	พันธะ
女媧	อนุวัต
安曇	พันตัน
낭	นนัง
운항	อนฮัง
인공	ง่อง
인강	งอั้ง
엔딩	อนดิ้ง
안방	นบัง
나인티	นันธิ
나가나	นานั
아마코	สำลัก
민탈	มินตั๋
미인아	มีนั
말아	มัลละ
마동	มะฎอน
마이단	มะดัน
الله	อัลไล
樂工	เล็ง
일베로	อัลเบร์
爱的	ไลเด
갈대아	แและ
喇叭	ลาบั
카나	กกะณะ
케치	เกจิ
康德	กอันเด
암바	กัมบะ
카사	กาสะ
이론에	ไอรอน
아함	กะหล่ำ
돌이	โดลฟิ
하임	ด์ไฮม์
寵	จ๋อง
称	เฉ่ง
헤베	เชเบ
禪寺	ชั่นส์
暢	ชัง
ハナ	จะนะ
孩兒	ไชร์
해아	แฉะ
벨벳	เบเลซ
바이엇	ไบออส
매홍손	แม่ฮ่องสอน
콘티넨탈	นทิเนนตัล
콘티넨탈	นทิเนนตัล
안나	อันนะ
리마	ริมั
ライン	ไรน์
野蠻	ยมัน
야말	ยมัล
未得	วิเด
網	วัง
솔티	ซอลท์
리케	ริเค
让	อรัง
라다	ระดะ
호넨	โอนเอน
나키	นอะกิ
훙	หุ่ง
후후	หุหุ
シティ	หิติ
히마	หิมะ
하안	ห่าน
엉	เอ็ง
엔기	เองิ
데나	เดนั
아라이	อะไร
안나	อันนะ
안기	ะงิ
참피	อัมพิ
아카리	อัคริ
아카키	อัคคิ
아벨	อะเบล
아라라	อาระ
와인	ไวน์
潼	โตง
토한	ต์ฮัน
싱	สิ้ง
篩	อส์ไฮ
섶	เซ็ป
도수에	โอสึ
오손	โอโซน
요사	โยคะ
켄시	เก้นส์
營利	อิงิ
依賴	อิไล
엉	เอ็ง
엔기	เองิ
엘데	เอลเด
車馬	ชมะ
아톰	อะตอม
차수에	อะสึ
아렌	ะเรน
안기	ะงิ
양에	ญัง
얀센	แยน
やまと	ยมัท
아말	อะมัล
아카사	อักษะ
아카키	อัคคิ
아이바	ไอบะ
아라라	อาระ
아앙	อ่าง
얀타	ยันต์
우나라	อุณา
티나	ทินั
테라	เถระ
텐도	เทนด์
페리	เปริ
铭	มิ่ง
일람	อิลัม
依賴	อิไล
河洛	เฮโล
慵	โยง
野蠻	ยมัน
얀타	ยันต์
로네	โรเน
리드	ริเด
레논	เรนน์
레드	เรเด
라웨이	ระเว
월이	ว็อลฟ์
인투	อินทุ
이말	อิมัล
일람	อิลัม
イカ	วีคั
外資	วิดิ
シティ	หิติ
히리	หิริ
할일	ฮัลล์
해아	แฮะ
월데	วอล์ด
센티	เวทิ
엔기	เองิ
엘데	เอลเด
엘베	เอลเบ
에인세	เอินซ์
아렌	ะเรน
아렌	ะเรน
아레아	ะเระ
아니	แวนิ
암프	อำเภอ
알아야	อัลญะ
알더	อัลเด
아카코	อักโข
아이넷	ไอน์ส
아이바	ไอบะ
아앙	อ่าง
아다모	อาม็
아다마	อามั
야킨	ยกิน
야소	ยะโส
央	ญัง
우우르	อูเร
たち	ตัช
린아	อรินั
레타	เรทั
레니	เรณิ
레이다	เริด
라나	ระณะ
라크	ระเค
라카	ระกะ
ライト	ไรต์
ライン	ไรน์
お茶	โอชะ
인기	อิงิ
이말	อิมัล
이데아	อิเดะ
弘	โหง่
엔기	เองิ
엘데	เอลเด
たった	อัตถะ
알아야	อัลญะ
아이넷	ไอน์ส
아담	อะดัม
パーティ	าธิ
아라라	อาระ
바알이	อาลิ
翁	เวง
와힛	ไวซ์
타롬	ตรอม
타킨	ทกิน
티칼	ตกัล
티나	ทินั
틸다	ติลั
拓海	ทไฮ
테이사	เทิส
타반	ตบัน
타나	ทะนะ
타코	ตะโก้
すま	สุมะ
スキ	สุคิ
우티	อนุสติ
우타다	สตั๊ด
우타다	สตั๊ด
소만	ซมัน
실안	สลัน
싶이	ซิปิ
신아	สินะ
사단	สดัน
세반	สบัน
사인	ไซน์
사이다	ไซด์
루바	รุบะ
리신	รสิน
리살	อร์ซัล
롤라	โรลั
리넷	อร์เนส
리넨	รเนน
라맛	อร์มัส
레만	รมัน
우릴	รกิล
리켈	อร์เคล
리야	อริยะ
리마	ริมั
리베	ริเบ
리한	อรหัน
熱海	อร์ไฮ
레타	เรทั
让	อรัง
라나	ระณะ
랄이	รัลอิ
라엘	แรล
라비	ระบิ
라바	ระบะ
포만	ปมัน
피타	ภิทั
팥이	ภัติ
旁	ปั้ง
네윈	นวิน
나완	นวัน
분투	นทุก
분투	นทุก
안톤	นท้อน
우릴	นริล
オンリー	นรี่
アンパン	นพัน
놀다	โนล์ด
준나	นนัท
준나	นนัท
南岸	นนัน
인켈	นเคล
니티	นิติ
니티	นิติ
닛타	นิษฐ
니다	นิดั
중무	งมุ
몬타	โมนต์
몽	โมง
미디	มิดิ
메키	เมกิ
메다	เมดั
만엔	อมันน์
盲	มั้ง
말일	มัลล
馬利	มะลิ
마이도	ไมด์
일만	ลมัน
利他	ลิตั
＿	ลิเน
立ち	ลิช
올딘	ลดิน
일반	ลบัน
콜의	โขลญ
키카	กิกั
케나	เคนั
카와	กะวะ
虎林	หลิน
힝	หิ่ง
杭	ฮั้ง
学問	อื่น
도론	โดร์น
디네	ดิเน
덴시	เด้นส์
드네	เดเน
데나	เดนั
大安	ดาน
出羽	จู๊
持寺	ชิส
赤い	ฉี
붕	อบุง
우봉	โบง
빌자	บิลั
白夜	ไบย์
바이두	ไบด์
罷黜	บัจ
罷黜	บัจ
융	ยุ้ง
예란	ทรัน
요네	โยเน
열이	เยลิ
유달	อยดัล
뤼티	วิธิ
윈의	วินย
윙	วิ่ง
윌로	วิโล
위키	วิกิ
未得	เวเด
우우르	อูเร
숭	สุ่ง
숭	สุ่ง
つり	ทซึ
宿衛	ซึอิ
소티	โสติ
싶이	ซิปิ
싱	สิ้ง
신아	สินะ
투산	สหัน
屠殺	สหัก
세의	เซย์อิ
세노	เสโณ
셍	เซง
셀카	เซลั
桑	สั่ง
삼사	สอัมส
리얄	รอยัล
루레이	ตรึ
로야	โรยั
로타	โรทั
롯타	ร็สต์
蓉	รอง
로마	โรมั
로키	โรกิ
로카	โรคั
리티	ริฒิ
리씨	ริสซ์
리피	รอิพิ
りか	ริกั
レオン	อเร็น
레니	เรณิ
렝	เรง
렌에	เรเน
레드	เรเด
란타	รอันท์
라켓	รักษ์
라키	รอะกิ
라비	ระบิ
라삐	ระบบ
라바	ระบะ
라낫	อราส
라왈	อราล
오손	โอโซน
オリオン	ตรอน
토루	โตรด
토폴	โอพอล
통사	โทสะ
오호	โทโช
말일	มัลล
쿠마	คุมั
이수에	อิซึ
이세라	อิสระ
인내	ติเน
인기	อิงิ
인차	ทินั
ビート	อีโต้
홋타	โหสถ
혼다	โหนด
호키	โฮกิ
히리	หิริ
힌디	ฮินด์
힐로	ฮิโล
허다	เฮ็ด
衡	เห้ง
헤인	เฮิน
헤일	เฮิล
河底	เฮดิ
한인	ฮันน์
할시	ฮัลส
할일	ฮัลล์
하이시	ไฮส
하인	ไฮน์
하일	ไหล
해라	แฮร
엘데	เอลเด
チン	อชิน
沉	เจน
諂	อชัน
釵	ไช่
たった	อัตถะ
아톰	อะตอม
아렌	ะเรน
아레아	ะเระ
참피	อัมพิ
아미리	ไทร
아마이	อะไม
알아야	อัลญะ
알바	อัลบะ
알참	อะลัม
아카리	อัคริ
아카코	อักโข
아이키	ไอคิ
아이바	ไอบะ
아델	อะเดล
아가페	อาเป
아앙	อ่าง
아야네	าเน
아타나	าณะ
아자키	อากิ
아바디	อาดิ
융	ยุ้ง
慵	โยง
夜叉	เยช
유달	อยดัล
윈의	วินย
위다	วิดั
웨타	เวทั
원	เว็น
問題	เว่นธ์
웨인	เวิ่น
와일	ไวล์
外科	ไวก์
와한	ว่าน่
와랍	วาบ
우루루	อูรุ
우타리	อุตริ
우라이	อุไร
우파의	อุภัย
수들	ซดุล
투라	ธุระ
타롬	ตรอม
토란	ทรัน
타랍	ทรับ
토란	ทอร์น
톨도	โธโล
톨키	ทอล์ก
トキ	โทคิ
톱에	โทเบ
시롭	สถิร
티넥	ติเน
티나	ทินั
틸다	ติลั
提出	ทิจ
토할	สทัล
테릴	เทรล
텐에	เธเน่
템피	เทมป์
테이카	เตกั
테이사	เทิส
탄투	ทะนุ
탈파	ตะละ
타이토	ไทท์
태시	แทซ
탠	แท่น
태울	แตล
たち	ตัช
スター	ตาร์อ
타알	ธาล
타랍	ทาบ
솔로	โซโล่
로타	โรทั
로카	โรคั
리마	ริมั
렝	เรง
라야	ระยะ
让	อรัง
포룬	พอร์น
퐁	โปง
폴에	โปเล
피티	พิธิ
시샤	ศิษย
譬如	พิรุ
피리	พิริ
피니	ปิณิ
評	พิง
펜사	เพนส์
페일	เปิ้ล
파타	ปะทะ
판인	พัณณ์
旁	ปั้ง
