ย์อะ	זיא
อั้ม	זאם
อัจ	זאח
ย่อย	יוי
อยท์	יטב
ญง	ינג
หล	יהל
อัล์	יאל
อึน	וּבֵין
มะฮฺ	וּמָה
ญ์ณรัณ	טיראן
ธม	תקמ
รล	סרל
ง้	סנג
สลิป	סלף
สัณ	סאנז
ษัต	סאגט
อาด	סאאד
เรสท์	רֶשֶׁת
อัล์	ראל
รัลด์	ראלד
อร์บ็อต	רַבּוֹת
อ๊า	קאא
ย่อย	ניי
ยนฺ	נין
ณย	נוי
นทร์	נטר
อายัน	נאראיאן
มย์	מיג
มณฑป	מטף
มระ	מראז
มลำ	מלם
มกอล	מכל
มาระ	מאטאראם
ย์อะ	ליא
ลุ	לוּק
สห์	לש
เล็น	לְשׁוֹן
กงล้อ	כגל
กัง	כאג
หรั่	הרא
ฮ่ะ	האק
หม่น	האמן
ฮัลเด	הַלֵּב
รอันท์	גראנטה
หอย	גהי
ฟาน	פאראן
ฟาร์	פאאר
เมห์	אֶמֶה
ดน์	דון
โอดิ	דוֹדִי
หนฺ	דהן
ดาร์	דָבָר
เฮห์	חֶה
ชะล่า	חָלָב
กะเทย	בָּתֵּי
ยอด	איד
ยัด	איאד
แอน	אָוֶן
อะนะ	אנזא
ณัน	אנאן
นัด	אנאד
าณ	אגאן
ดั้น	אדאן
จ้ะ	אחא
อาจั๊	אחאב
นฟั่ง	אנפאנג
คาร์ดฮัน	ארדהאן
ฮาร์ด	האגארד
ทรันด์	טאראנד
ธารั	טאנארא
ห่าน	שאפראן
นฟั่ง	אנפאנג
อัลอัยน์	אלאדין
ระงิ	רַגְלִי
ระหัด	ראשאד
แฮร์ทสช	ארצח
ทรันด์	סטראנד
ทรันด์	סטראנד
นฟั่ง	אנפאנג
แฮร์ทสช	ארצח
จรัญ	אחראי
นฟั่ง	אנפאנג
ลมันด์	אלמאנד
สหรัฐ	שראתה
แฮร์ทสช	ארצח
คาร์ดฮัน	ארדהאן
อัลยัส	אליאנס
ระห่ำ	בראהאם
ทรันด์	סטראנד
ทรันด์	סטראנד
ชมัน	רחמאן
ดรัง	דאראנג
เชเร	חֶרֶשׂ
ทรานส์	טראנס
รานฺ	ראבאן
เหงี	זֶנגִי
โบรธ	בּוֹרוֹת
รจญ์	ארחי
ลมัน	אלמאן
จรย์	אחרי
โจร์	אָחוֹר
สทัส	סטאדס
ชมะ	חסמא
อัซฮัร	אשאר
รสัน	ארסאן
รมัน	ארמאן
ยมัท	יאמאטו
ลมัน	אלמאן
สตั้น	יסטאן
อยดัล	ינדאל
ยมัน	אימאן
รสัน	ארסאן
รนดท์	ארנדט
รมัน	ארמאן
งอัน	אנגאן
อะลัม	אלהאם
ลัช	אלאח
อักษะ	אכסאל
าร์ด	אדארד
วอลเลซ	ווֹלֶס
อลชอย	לאחי
าร์ด	אטארד
สกัน	באסאן
อานนฺ	בראנן
อะนัส	אניאס
นันด	אנאנד
อัลอะห์	אללאה
ลัช	אלאח
สทัส	סטאדס
สหพันธ์	שאנט
เซ็ม	סְדוֹם
รานฺ	ראבאן
นิติ	אוּנִיטִי
มะยม	מאימא
มนัก	מאנאך
ลั้ง	לואנג
ลลัส	ללאנס
ชลันด์	הלאנד
สตั๊ด	גסטאד
อยดัล	ינדאל
ศาณ	סאגאן
ย์ฝั้น	ריפאן
อร์เนท	רֶנְט
อรัช	רֵיחַ
หยัด	היארד
หยัน	האיאן
ฮาร์	האמאר
หัวมัน	הָמָן
ฮัลส	האליס
อารย์	אטארי
มัสมั่น	אסמאן
สัณห	אסאנה
รนัส	ארנאס
รมัน	ארמאן
อะนัส	אניאס
นทัล	אנטאל
ลั้ง	אלאנג
อักษะ	אכסאל
ยอชต์	יחטא
ทัฟฟ์	סטראפ
ทั่นส์	טאונס
ทั่นส์	טארנס
ธารณั	טארנא
ตัลต์	תאלץ
เปเย	פְּיֶר
ยมัน	נימאן
เมลก	מֶלֶך
เมร์กัล	מְכָל
ยมัน	לימאן
ลาร์จ	לארח
ละมาน	לאמאן
ขยัน	כיואן
หิรัณ	שראן
หยัน	האיאן
ฮัยษัม	הַיָּם
หยัด	הַיָּד
ฮาร์	האואר
ฮาห์	הָבָה
ห่าน	האתאן
ไหม่	הָרִים
ฮาห์	הָרָה
ฮาฟ	האראפ
ฮันน์	האנין
ไฮเนส	הַנְס
หมอน	הֲמוֹן
ฮาร์	האמאר
ฮาร์	הָדָר
ฝาด	פאראד
จุฬ	חוּלל
จรัม	חראם
ชาร์ท	חארט
ชัมส์	חאמס
ฉัย	חאדי
จ้าน	חאאן
อารย์	אבארי
อาร์ท	אבארת
อารยัน	אריאן
รสัน	ארסאן
อร์มัส	ארמאס
รมัน	ארמאן
อะนัส	אניאס
นันด	אנאנד
อาร์ท	אמארת
มัณฑ	אמאנת
านด์	אמאנד
อัลญะ	אליאן
อัลแทร์	אלטאר
ลมัน	אלמאן
อัลอะห์	אללאה
านซ์	אדאנס
ญัง	יואנג
อร์เนท	רֶנְט
ยมัน	אימאן
อารย์	אבארי
ธนัส	אטנאס
อกัสตัส	אסטאס
งอัน	אנגאן
ทัมนัส	אמנאס
มะตอย	אמאטי
มันส์	אמאנס
ลั้ง	אלאנג
อาร์ธัส	ארטאס
รสัน	ארסאן
สัตย	סאלטי
ยมัส	רימאס
รเญส	רַיְס
รัฏฐ	ראטצ
เลคต์	לֶכֶת
ลาน์	לאיאן
