โยคะ	오카
ญง	蛍
ยิช	義齒
ยอัล	알
วอลเล	월에
เวี	違い
อูน	うん
ทอร์เรส	터렛
ตจะ	叉
สต้าร์	スター
ซ่ง	ㅇ
แซง	앵
สาฬ	사살
ซาด้	ຊາດ
รอลโล	롤로
รัล	알
รัลด์	랄
พิศิ	이시
ปาโญ	아파요
นวิ	위
นูร์	女兒
นื่	ねえ
งอิน	안긴
ง้ำ	감
เณรี	네리
เนิล	에일
เนะ	에아
นะโส	아소
แนร์	내리
อมูร์	무우
ไมอ็อ	아이오
ลอยั	鴉
อลี	이이
กูส	쿠우
คูณ	우운
คูก	쿠우코
ครั้น	染
โกศิ	오시
กอร์ป	코리페
โกลเด้	올드
คิดั	이다
กิจิ๋	いち
คอแห้ง	행
กัมป์	캄피
ไคร้	카이로
อิบะ	巴
ฮูร์	후우리
หรั่	ハラ
โฮลเด	올드
ฮับบะ	아빠
ฝี	이이
ดรอน	론
ดรัก	だらけ
ดล็	ド
ดิ่นห์	딘
เด้ง	엥
ดัลเลส	댓
ดัลลัส	달랏
โชกุ	호쿠
เจห์	澈
บอร์เด	보데
เบอซ็	에소
อัมมัน	마만
อาญา	아나야마
าร์ด	أرض
ริงโทน	바링톤
เซนทรัล	센트랄
ซิมโฟนี	심온이
ปุราณะ	푸라나
รังไข่	랑카위
ไนโรบี	나이로비
ฮ่องกง	논공
เรนเนลล์	렌넬
ฮอว์กิง	호킹
ริงโทน	바링톤
บรันเด็น	란동
เดสทิเน	대신에
อเดลไฮด์	엘하이다
เยอรมัน	野蠻
ธิงค์ท	잉카타
เติลเฟน	일엔
ธารี	타마린의
เทนนิส	텐미닛
เถลิง	悪霊
ตัมปิน	탐인
ก้าเรน	カレン
ฮันเดล	핸델
โชเรน	超人
โชเนน	호넨
ชิลเด	힐데
ระยัง	루아양
พิริยะ	피리의
เบริง	베링
ออร์ดิเน	오딘에
อำรุง	삼릉
มากี	마치이
เรเชล	레헬
โคโรนา	포로나
กิจี	きち
อั้งฉิ	アンチ
คามี	칼라미티
คาร์ธี่	かなり
สากิย	사다키요
ริบบิ้น	리빈
มอร์ทัล	모탈
มะต้อง	말통
ฮันเดล	한듯
ริบบิ้น	리빈
ออร์ดิเน	오딘에
แฟชั่น	諂
เยอรมัน	野蠻
สปิเนล	피넬
ดารา	다라만
จูโช	初出
โชงิ	洪憙
เหม็ง	해몽
จะจะ	畜産
ฮังเล	长乐
จำปา	하파
ไฮรัล	하이랄
เรนเดล	렌델
เรนดัล	랜달
บริเตน	레이튼
รอันนัม	안남
บรันดิ	란디
ออร์ดิเน	오딘에
บีอิ้ง	이싱
สเตอริโอ	테리오
อร์เรนเด	아렌델
เรนดัล	랜달
มิใช่	미하이
มะต้อง	말통
มันเทศ	아마네
เวินส์	웨인
อินเทล	인텔
หังส	항수
ยกับอะ	カバ
ยอะบู	아부르
ออนซอน	왼손
อินเทล	이넬
วิลเด	힐덴
เวรี	偽り
วาทิ	마나티
แอลเด	엘데
โรมัน	로만
อัลมัร	알마리
อัลดิส	알디
อัลดัส	아닷
านัม	안암
อตทิง	투팅
สต๊าด	ຊາດ
เสม็ด	세모
รีมั	리마
อร์ไบน์	리바인
งกัณ	융캉
กัมบะ	암바
ชิเร	赤熱
วัณณะ	안나
ซึ้ง	셍
โรเมอร์	로메로
โรเช	로체
โระเค	로케
เรเนน	레넌
เรนเดอ	人的
ทรัมป์	람파
ออร์ฮัน	오한
ออนซอน	왼손
โอะงิ	오한기
ฑีธิ	리티
ติมอร์	이모리
หริ่ง	헤링
โฮร์เน่	호네
ฮิลเด	힐데
เห็ดโ	허도
หังส	항수
ฮะงิ	한기
ไฮเน	하이네
แฮร์ส	햇
แฮง	행
เทวัน	태안에
เอร์นัน	에란
เทลเล	텔은
ทชั่น	笹川
จ๋อง	寵
โชคั	ほか
เฉ่ง	称
เฉ่ง	称
ชัง	暢
อัพภัน	앞판
ทำไพ่	남파
อำพัน	참판
ตัมปิน	아민
ไอรอน	아이론
ทัฟเนล	태울
วิเทศ	위엣
สวิง	윙에
สถิติ	シティ
เตร์เร	테레
เทพิน	터핀
ทอะธอน	아톤
ธัมมะ	타마마
ตาห์ล	타알
ปอร์ติ	포티
สปอร์ต	포레
โปลี	폴이
พอกัน	오칸
พิทัล	피탈
พิรี	피리의
เพริศ	펠릿
เป็นก	펀
พันธะ	판타
มอิเลค	밀에
มิลเด	밀도에
ละติน	아틴
ครั่ง	쿠랑
คอร์เน	코로네
กิลเล	킬에
กิเลส	킬에
เกริก	けり
กะล่อน	칼톤
การั	카타라
กานั	카타나
โสพิศ	소피
อินเทล	인텔
สนอง	신봉
ฮูมิ	후쿠미
ฮึง	후벵
หิรัณ	히란
หิรัณ	히란
ฮิปโป	しっぽ
